,State,Year,Quarter,Pincode,Reg_Users
429,Arunanchal Pradesh,2018,3,791109,1612
430,Arunanchal Pradesh,2018,4,791110,6599
431,Arunanchal Pradesh,2018,4,791111,6225
432,Arunanchal Pradesh,2018,4,791113,4115
433,Arunanchal Pradesh,2018,4,791102,4109
434,Arunanchal Pradesh,2018,4,790104,3034
435,Arunanchal Pradesh,2018,4,792103,2741
436,Arunanchal Pradesh,2018,4,792001,2577
437,Arunanchal Pradesh,2018,4,791001,2444
438,Arunanchal Pradesh,2018,4,790116,2206
439,Arunanchal Pradesh,2018,4,791109,2071
440,Arunanchal Pradesh,2019,1,791110,8094
441,Arunanchal Pradesh,2019,1,791111,7673
442,Arunanchal Pradesh,2019,1,791113,5140
443,Arunanchal Pradesh,2019,1,791102,5030
444,Arunanchal Pradesh,2019,1,790104,3751
445,Arunanchal Pradesh,2019,1,792103,3477
446,Arunanchal Pradesh,2019,1,792001,3160
447,Arunanchal Pradesh,2019,1,791001,3103
448,Arunanchal Pradesh,2019,1,790116,2798
449,Arunanchal Pradesh,2019,1,791109,2519
450,Arunanchal Pradesh,2019,2,791110,10055
451,Arunanchal Pradesh,2019,2,791111,9597
452,Arunanchal Pradesh,2019,2,791113,6418
453,Arunanchal Pradesh,2019,2,791102,6283
454,Arunanchal Pradesh,2019,2,790104,4437
455,Arunanchal Pradesh,2019,2,792103,4369
456,Arunanchal Pradesh,2019,2,791001,3960
457,Arunanchal Pradesh,2019,2,792001,3918
458,Arunanchal Pradesh,2019,2,790116,3335
459,Arunanchal Pradesh,2019,2,791109,3151
460,Arunanchal Pradesh,2019,3,791110,11834
461,Arunanchal Pradesh,2019,3,791111,11464
462,Arunanchal Pradesh,2019,3,791113,7593
463,Arunanchal Pradesh,2019,3,791102,7308
464,Arunanchal Pradesh,2019,3,792103,5172
465,Arunanchal Pradesh,2019,3,790104,4964
466,Arunanchal Pradesh,2019,3,791001,4733
467,Arunanchal Pradesh,2019,3,792001,4605
468,Arunanchal Pradesh,2019,3,791109,3715
469,Arunanchal Pradesh,2019,3,790116,3709
470,Arunanchal Pradesh,2019,4,791110,13737
471,Arunanchal Pradesh,2019,4,791111,13109
472,Arunanchal Pradesh,2019,4,791113,8753
473,Arunanchal Pradesh,2019,4,791102,8369
474,Arunanchal Pradesh,2019,4,792103,5974
475,Arunanchal Pradesh,2019,4,790104,5523
476,Arunanchal Pradesh,2019,4,791001,5499
477,Arunanchal Pradesh,2019,4,792001,5268
478,Arunanchal Pradesh,2019,4,791109,4216
479,Arunanchal Pradesh,2019,4,790116,4071
480,Arunanchal Pradesh,2020,1,791110,15867
481,Arunanchal Pradesh,2020,1,791111,14888
482,Arunanchal Pradesh,2020,1,791113,10049
483,Arunanchal Pradesh,2020,1,791102,9584
484,Arunanchal Pradesh,2020,1,792103,6949
485,Arunanchal Pradesh,2020,1,791001,6631
486,Arunanchal Pradesh,2020,1,790104,6108
487,Arunanchal Pradesh,2020,1,792001,6044
488,Arunanchal Pradesh,2020,1,791109,4808
489,Arunanchal Pradesh,2020,1,792110,4690
490,Arunanchal Pradesh,2020,2,791110,18699
491,Arunanchal Pradesh,2020,2,791111,17137
492,Arunanchal Pradesh,2020,2,791113,11777
493,Arunanchal Pradesh,2020,2,791102,11547
494,Arunanchal Pradesh,2020,2,792103,8648
495,Arunanchal Pradesh,2020,2,791001,8304
496,Arunanchal Pradesh,2020,2,792001,7106
497,Arunanchal Pradesh,2020,2,790104,6860
498,Arunanchal Pradesh,2020,2,792110,5825
499,Arunanchal Pradesh,2020,2,791109,5521
500,Arunanchal Pradesh,2020,3,791110,21772
501,Arunanchal Pradesh,2020,3,791111,19597
502,Arunanchal Pradesh,2020,3,791113,13723
503,Arunanchal Pradesh,2020,3,791102,13422
504,Arunanchal Pradesh,2020,3,792103,9996
505,Arunanchal Pradesh,2020,3,791001,9880
506,Arunanchal Pradesh,2020,3,792001,8196
507,Arunanchal Pradesh,2020,3,790104,7622
508,Arunanchal Pradesh,2020,3,792110,6844
509,Arunanchal Pradesh,2020,3,791109,6404
510,Arunanchal Pradesh,2020,4,791110,24414
511,Arunanchal Pradesh,2020,4,791111,21845
512,Arunanchal Pradesh,2020,4,791113,15540
513,Arunanchal Pradesh,2020,4,791102,14955
514,Arunanchal Pradesh,2020,4,791001,11382
515,Arunanchal Pradesh,2020,4,792103,10964
516,Arunanchal Pradesh,2020,4,792001,9130
517,Arunanchal Pradesh,2020,4,790104,8391
518,Arunanchal Pradesh,2020,4,792110,7743
519,Arunanchal Pradesh,2020,4,791109,7262
520,Arunanchal Pradesh,2021,1,791110,26578
521,Arunanchal Pradesh,2021,1,791111,23660
522,Arunanchal Pradesh,2021,1,791113,16942
523,Arunanchal Pradesh,2021,1,791102,16191
524,Arunanchal Pradesh,2021,1,791001,12442
525,Arunanchal Pradesh,2021,1,792103,11916
526,Arunanchal Pradesh,2021,1,792001,9875
527,Arunanchal Pradesh,2021,1,790104,9066
528,Arunanchal Pradesh,2021,1,792110,8458
529,Arunanchal Pradesh,2021,1,791109,7917
530,Arunanchal Pradesh,2021,2,791110,28553
531,Arunanchal Pradesh,2021,2,791111,25349
532,Arunanchal Pradesh,2021,2,791113,18141
533,Arunanchal Pradesh,2021,2,791102,17388
534,Arunanchal Pradesh,2021,2,791001,13401
535,Arunanchal Pradesh,2021,2,792103,12890
536,Arunanchal Pradesh,2021,2,792001,10617
537,Arunanchal Pradesh,2021,2,790104,9711
538,Arunanchal Pradesh,2021,2,792110,9156
539,Arunanchal Pradesh,2021,2,791109,8470
540,Arunanchal Pradesh,2021,3,791110,30734
541,Arunanchal Pradesh,2021,3,791111,27265
542,Arunanchal Pradesh,2021,3,791113,19520
543,Arunanchal Pradesh,2021,3,791102,18855
544,Arunanchal Pradesh,2021,3,791001,14519
545,Arunanchal Pradesh,2021,3,792103,14068
546,Arunanchal Pradesh,2021,3,792001,11487
547,Arunanchal Pradesh,2021,3,790104,10467
548,Arunanchal Pradesh,2021,3,792110,9990
549,Arunanchal Pradesh,2021,3,791109,9111
550,Arunanchal Pradesh,2021,4,791110,32931
551,Arunanchal Pradesh,2021,4,791111,29128
552,Arunanchal Pradesh,2021,4,791113,20914
553,Arunanchal Pradesh,2021,4,791102,20261
554,Arunanchal Pradesh,2021,4,791001,15589
555,Arunanchal Pradesh,2021,4,792103,15154
556,Arunanchal Pradesh,2021,4,792001,12358
557,Arunanchal Pradesh,2021,4,790104,11211
558,Arunanchal Pradesh,2021,4,792110,10752
559,Arunanchal Pradesh,2021,4,791109,9729
560,Arunanchal Pradesh,2022,1,791110,34915
561,Arunanchal Pradesh,2022,1,791111,30912
562,Arunanchal Pradesh,2022,1,791113,22258
563,Arunanchal Pradesh,2022,1,791102,21601
564,Arunanchal Pradesh,2022,1,791001,16600
565,Arunanchal Pradesh,2022,1,792103,16282
566,Arunanchal Pradesh,2022,1,792001,13172
567,Arunanchal Pradesh,2022,1,790104,11905
568,Arunanchal Pradesh,2022,1,792110,11479
569,Arunanchal Pradesh,2022,1,791109,10306
570,Arunanchal Pradesh,2022,2,791110,36914
571,Arunanchal Pradesh,2022,2,791111,32620
572,Arunanchal Pradesh,2022,2,791113,23506
573,Arunanchal Pradesh,2022,2,791102,22850
574,Arunanchal Pradesh,2022,2,791001,17531
575,Arunanchal Pradesh,2022,2,792103,17259
576,Arunanchal Pradesh,2022,2,792001,13915
577,Arunanchal Pradesh,2022,2,790104,12565
578,Arunanchal Pradesh,2022,2,792110,12124
579,Arunanchal Pradesh,2022,2,791109,10908
580,Arunanchal Pradesh,2022,3,791110,39026
581,Arunanchal Pradesh,2022,3,791111,34393
582,Arunanchal Pradesh,2022,3,791113,24830
583,Arunanchal Pradesh,2022,3,791102,24093
