,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Transaction_type
178,Andaman & Nicobar,2022,2,744202,27750,84587978.8405464,TOTAL
179,Andaman & Nicobar,2022,2,744301,26170,74485462.68044695,TOTAL
180,Andaman & Nicobar,2022,3,744104,497273,951370315.4090765,TOTAL
181,Andaman & Nicobar,2022,3,744103,259994,545653686.3062732,TOTAL
182,Andaman & Nicobar,2022,3,744101,213864,444967255.802143,TOTAL
183,Andaman & Nicobar,2022,3,744105,208055,438754611.5375265,TOTAL
184,Andaman & Nicobar,2022,3,744102,114416,239581586.790242,TOTAL
185,Andaman & Nicobar,2022,3,744107,40466,85492008.49477127,TOTAL
186,Andaman & Nicobar,2022,3,744112,38350,74030563.48358011,TOTAL
187,Andaman & Nicobar,2022,3,744211,37918,89671382.06901146,TOTAL
188,Andaman & Nicobar,2022,3,744202,29918,85509005.84576747,TOTAL
189,Andaman & Nicobar,2022,3,744301,27668,70002553.35288173,TOTAL
190,Andaman & Nicobar,2022,4,744104,684366,1309407988.2902,TOTAL
191,Andaman & Nicobar,2022,4,744103,304600,612929267.1773143,TOTAL
192,Andaman & Nicobar,2022,4,744105,258097,505662756.1128938,TOTAL
193,Andaman & Nicobar,2022,4,744101,243494,467192496.17391205,TOTAL
194,Andaman & Nicobar,2022,4,744102,134923,264371699.73904055,TOTAL
195,Andaman & Nicobar,2022,4,744211,56491,137253267.66612908,TOTAL
196,Andaman & Nicobar,2022,4,744107,54192,104539818.47127225,TOTAL
197,Andaman & Nicobar,2022,4,744112,46364,82461782.47749998,TOTAL
198,Andaman & Nicobar,2022,4,744202,34689,94217164.85909571,TOTAL
199,Andaman & Nicobar,2022,4,744301,33669,82466591.07632071,TOTAL
200,Andhra Pradesh,2018,1,517501,110496,163487278.84449506,TOTAL
201,Andhra Pradesh,2018,1,520001,96883,170605900.5466873,TOTAL
202,Andhra Pradesh,2018,1,515001,92754,133522310.75704184,TOTAL
203,Andhra Pradesh,2018,1,517507,88132,127450018.2101582,TOTAL
204,Andhra Pradesh,2018,1,516001,84644,131194265.5243713,TOTAL
205,Andhra Pradesh,2018,1,518502,82421,68040306.13881023,TOTAL
206,Andhra Pradesh,2018,1,530016,81891,140880970.0990568,TOTAL
207,Andhra Pradesh,2018,1,520010,69581,119009921.97401813,TOTAL
208,Andhra Pradesh,2018,1,516360,68340,101612118.88480642,TOTAL
209,Andhra Pradesh,2018,1,518501,68193,81006512.71677604,TOTAL
210,Andhra Pradesh,2018,2,517501,165506,305629373.15863353,TOTAL
211,Andhra Pradesh,2018,2,518502,140893,127814123.87394845,TOTAL
212,Andhra Pradesh,2018,2,515001,129798,285924993.6163615,TOTAL
213,Andhra Pradesh,2018,2,517507,127731,243405277.90481398,TOTAL
214,Andhra Pradesh,2018,2,520001,123176,271911611.0495833,TOTAL
215,Andhra Pradesh,2018,2,516001,114806,242175477.6115077,TOTAL
216,Andhra Pradesh,2018,2,530016,111874,235770318.03054443,TOTAL
217,Andhra Pradesh,2018,2,520010,100630,220730389.6490364,TOTAL
218,Andhra Pradesh,2018,2,516360,96619,197068813.60447282,TOTAL
219,Andhra Pradesh,2018,2,518501,93442,163942778.22947574,TOTAL
220,Andhra Pradesh,2018,3,518502,1300146,709765829.9649723,TOTAL
221,Andhra Pradesh,2018,3,533437,421968,240766495.05853492,TOTAL
222,Andhra Pradesh,2018,3,518501,296154,291247918.8462258,TOTAL
223,Andhra Pradesh,2018,3,517501,295403,466133618.6014985,TOTAL
224,Andhra Pradesh,2018,3,515001,276595,438158383.2247275,TOTAL
225,Andhra Pradesh,2018,3,530016,234494,380410223.19526947,TOTAL
226,Andhra Pradesh,2018,3,517507,233347,386563858.6898683,TOTAL
227,Andhra Pradesh,2018,3,516259,220165,109844218.671292,TOTAL
228,Andhra Pradesh,2018,3,520011,213275,291805923.00111276,TOTAL
229,Andhra Pradesh,2018,3,520001,206435,371140000.30740225,TOTAL
230,Andhra Pradesh,2018,4,518502,441662,332201263.2829269,TOTAL
231,Andhra Pradesh,2018,4,517501,423357,714887920.0334857,TOTAL
232,Andhra Pradesh,2018,4,530016,367619,575982481.3389585,TOTAL
233,Andhra Pradesh,2018,4,515001,355695,651952970.9302757,TOTAL
234,Andhra Pradesh,2018,4,517507,318300,594747982.0458119,TOTAL
235,Andhra Pradesh,2018,4,530003,277131,356075793.85855436,TOTAL
236,Andhra Pradesh,2018,4,516001,269798,572252390.1920383,TOTAL
237,Andhra Pradesh,2018,4,520010,250261,492229977.1570112,TOTAL
238,Andhra Pradesh,2018,4,530017,248725,326891428.60271376,TOTAL
239,Andhra Pradesh,2018,4,518501,248520,357423401.5571966,TOTAL
240,Andhra Pradesh,2019,1,530001,950821,1529039457.6419592,TOTAL
241,Andhra Pradesh,2019,1,517501,922416,1244725311.4573965,TOTAL
242,Andhra Pradesh,2019,1,520001,814616,1462807205.627422,TOTAL
243,Andhra Pradesh,2019,1,530016,684611,960022481.5524917,TOTAL
244,Andhra Pradesh,2019,1,517507,671661,1009128524.8128469,TOTAL
245,Andhra Pradesh,2019,1,515001,609682,1009938283.8464416,TOTAL
246,Andhra Pradesh,2019,1,518502,545426,389782596.9665674,TOTAL
247,Andhra Pradesh,2019,1,530003,527667,590799502.8850918,TOTAL
248,Andhra Pradesh,2019,1,530017,472914,531596255.9349663,TOTAL
249,Andhra Pradesh,2019,1,520010,460133,774931063.0289192,TOTAL
250,Andhra Pradesh,2019,2,530001,2602865,5218795715.70141,TOTAL
251,Andhra Pradesh,2019,2,520001,1828617,3823390190.0922346,TOTAL
252,Andhra Pradesh,2019,2,517501,949187,1669949938.5076957,TOTAL
253,Andhra Pradesh,2019,2,522001,839909,1759418775.980979,TOTAL
254,Andhra Pradesh,2019,2,530016,793798,1257915825.5688605,TOTAL
255,Andhra Pradesh,2019,2,517507,760335,1412863012.2407691,TOTAL
256,Andhra Pradesh,2019,2,515001,567306,1282118916.2094193,TOTAL
257,Andhra Pradesh,2019,2,530003,520142,718170914.395836,TOTAL
258,Andhra Pradesh,2019,2,520010,490697,973983824.5472903,TOTAL
259,Andhra Pradesh,2019,2,530017,480905,650710126.3382195,TOTAL
260,Andhra Pradesh,2019,3,530001,2944756,6693257653.901131,TOTAL
261,Andhra Pradesh,2019,3,520001,1905190,4414503365.699517,TOTAL
262,Andhra Pradesh,2019,3,517501,1434209,2203932856.2972074,TOTAL
263,Andhra Pradesh,2019,3,530016,1196020,1658162548.562835,TOTAL
264,Andhra Pradesh,2019,3,517507,1060513,1854927351.7366562,TOTAL
265,Andhra Pradesh,2019,3,522001,1003916,2216532548.7258,TOTAL
266,Andhra Pradesh,2019,3,515001,868052,1667826831.8650486,TOTAL
267,Andhra Pradesh,2019,3,530003,858005,970993081.1712441,TOTAL
268,Andhra Pradesh,2019,3,530017,799271,911939243.0618924,TOTAL
269,Andhra Pradesh,2019,3,530026,711726,1095056835.9858122,TOTAL
270,Andhra Pradesh,2019,4,530001,4185063,9160387223.4497,TOTAL
271,Andhra Pradesh,2019,4,520001,2544877,5933007156.535349,TOTAL
272,Andhra Pradesh,2019,4,517501,1920211,3073084029.9256625,TOTAL
273,Andhra Pradesh,2019,4,530016,1591033,2295184224.145106,TOTAL
274,Andhra Pradesh,2019,4,530026,1438154,2509394595.5414515,TOTAL
275,Andhra Pradesh,2019,4,517507,1406768,2478459132.7705936,TOTAL
276,Andhra Pradesh,2019,4,522001,1324202,2927313967.683236,TOTAL
277,Andhra Pradesh,2019,4,515001,1202983,2376869516.684207,TOTAL
278,Andhra Pradesh,2019,4,530003,1131832,1339103327.887921,TOTAL
279,Andhra Pradesh,2019,4,530017,1084796,1266927471.3317952,TOTAL
280,Andhra Pradesh,2020,1,530026,6695271,15258657486.862274,TOTAL
281,Andhra Pradesh,2020,1,517501,2196548,3731404465.729061,TOTAL
282,Andhra Pradesh,2020,1,530016,1661816,2593325339.0472875,TOTAL
283,Andhra Pradesh,2020,1,517507,1554974,2719620696.0325623,TOTAL
284,Andhra Pradesh,2020,1,515001,1346804,2696427930.6755033,TOTAL
285,Andhra Pradesh,2020,1,530003,1159480,1519955258.5314608,TOTAL
286,Andhra Pradesh,2020,1,524002,1125194,2653339803.95633,TOTAL
287,Andhra Pradesh,2020,1,530017,1104748,1412381495.9440272,TOTAL
288,Andhra Pradesh,2020,1,520010,1098395,2059547223.1742206,TOTAL
289,Andhra Pradesh,2020,1,522001,1058410,2575723775.0488396,TOTAL
290,Andhra Pradesh,2020,2,530026,4994637,12817902607.017586,TOTAL
291,Andhra Pradesh,2020,2,517501,1708935,3203679955.4885287,TOTAL
292,Andhra Pradesh,2020,2,517507,1575118,2854711069.441047,TOTAL
293,Andhra Pradesh,2020,2,524002,1553283,3993963025.6852684,TOTAL
294,Andhra Pradesh,2020,2,530016,1067022,1893629834.0393307,TOTAL
295,Andhra Pradesh,2020,2,516001,1066066,2616099329.3322473,TOTAL
296,Andhra Pradesh,2020,2,515001,1026587,2447755903.073549,TOTAL
297,Andhra Pradesh,2020,2,518002,979822,2015820866.3250332,TOTAL
298,Andhra Pradesh,2020,2,522001,963666,2678051229.473872,TOTAL
299,Andhra Pradesh,2020,2,520002,956641,2767045048.1995325,TOTAL
300,Andhra Pradesh,2020,3,524002,5194663,13718743729.17845,TOTAL
301,Andhra Pradesh,2020,3,530026,4159532,10383207817.795242,TOTAL
302,Andhra Pradesh,2020,3,517501,2735691,5544720473.076229,TOTAL
303,Andhra Pradesh,2020,3,516001,2534360,6637577271.358326,TOTAL
304,Andhra Pradesh,2020,3,517507,2306174,4594510974.325968,TOTAL
305,Andhra Pradesh,2020,3,520002,2238996,6543183825.055463,TOTAL
306,Andhra Pradesh,2020,3,530016,1921871,3560898943.243418,TOTAL
307,Andhra Pradesh,2020,3,515001,1669413,4116758527.095812,TOTAL
308,Andhra Pradesh,2020,3,522001,1625687,4701116488.838855,TOTAL
309,Andhra Pradesh,2020,3,518002,1514873,3352462441.2241564,TOTAL
310,Andhra Pradesh,2020,4,524002,5029692,12810644736.250324,TOTAL
311,Andhra Pradesh,2020,4,530026,4235146,9849636860.464972,TOTAL
312,Andhra Pradesh,2020,4,517501,4125544,7866883789.381668,TOTAL
313,Andhra Pradesh,2020,4,517507,3420778,6749696775.855953,TOTAL
314,Andhra Pradesh,2020,4,516001,3119905,8005247952.077286,TOTAL
315,Andhra Pradesh,2020,4,530016,2981818,5591062751.070802,TOTAL
316,Andhra Pradesh,2020,4,515001,2821800,6442101736.915546,TOTAL
317,Andhra Pradesh,2020,4,518002,2219953,4809927717.539759,TOTAL
318,Andhra Pradesh,2020,4,520010,2170458,4679865894.241622,TOTAL
319,Andhra Pradesh,2020,4,530017,2027751,3252434512.586547,TOTAL
320,Andhra Pradesh,2021,1,524002,7269657,16698428355.239132,TOTAL
321,Andhra Pradesh,2021,1,530026,5875319,13567044097.312927,TOTAL
322,Andhra Pradesh,2021,1,517501,4354325,8224302893.470669,TOTAL
323,Andhra Pradesh,2021,1,520002,3591058,9183853695.408499,TOTAL
324,Andhra Pradesh,2021,1,517507,3378549,6593121540.981036,TOTAL
325,Andhra Pradesh,2021,1,530016,3144495,5679150412.005564,TOTAL
326,Andhra Pradesh,2021,1,516001,2941623,7434205012.068323,TOTAL
327,Andhra Pradesh,2021,1,515001,2815993,6225481722.602297,TOTAL
328,Andhra Pradesh,2021,1,522001,2584588,6753205746.899624,TOTAL
329,Andhra Pradesh,2021,1,520010,2291676,4716738889.930448,TOTAL
330,Andhra Pradesh,2021,2,524002,11023032,25519404146.52658,TOTAL
331,Andhra Pradesh,2021,2,530026,7850540,19042845773.20165,TOTAL
332,Andhra Pradesh,2021,2,520002,5441708,14948864290.86964,TOTAL
333,Andhra Pradesh,2021,2,517501,4614209,9215678010.439575,TOTAL
334,Andhra Pradesh,2021,2,517507,3834825,7940105016.380435,TOTAL
335,Andhra Pradesh,2021,2,522001,3427039,9832657321.439524,TOTAL
336,Andhra Pradesh,2021,2,515001,3052771,7213837063.020088,TOTAL
337,Andhra Pradesh,2021,2,530016,2892664,5705916880.595729,TOTAL
338,Andhra Pradesh,2021,2,516001,2613562,7256266063.657529,TOTAL
339,Andhra Pradesh,2021,2,518002,2553688,5906664130.524334,TOTAL
340,Andhra Pradesh,2021,3,524002,10701326,23300508690.71216,TOTAL
341,Andhra Pradesh,2021,3,530026,9780096,22841763578.29273,TOTAL
342,Andhra Pradesh,2021,3,517501,5982442,11419848822.233982,TOTAL
343,Andhra Pradesh,2021,3,520002,5320101,14633600592.216694,TOTAL
344,Andhra Pradesh,2021,3,517507,4866065,9768221617.56348,TOTAL
345,Andhra Pradesh,2021,3,522001,4242875,11355623168.660927,TOTAL
346,Andhra Pradesh,2021,3,530016,4177023,7797927714.306906,TOTAL
347,Andhra Pradesh,2021,3,515001,4040160,8752025049.046715,TOTAL
348,Andhra Pradesh,2021,3,516001,3370675,8720115499.341372,TOTAL
349,Andhra Pradesh,2021,3,520010,3206301,6832329071.6628275,TOTAL
350,Andhra Pradesh,2021,4,524002,14158439,30358274591.367683,TOTAL
351,Andhra Pradesh,2021,4,530026,10216678,24428085477.49295,TOTAL
352,Andhra Pradesh,2021,4,517501,7246667,13514835187.056923,TOTAL
353,Andhra Pradesh,2021,4,517507,5790910,11415016234.059563,TOTAL
354,Andhra Pradesh,2021,4,520002,5716025,15397268124.171196,TOTAL
355,Andhra Pradesh,2021,4,530016,5252680,9484946022.822403,TOTAL
356,Andhra Pradesh,2021,4,522001,4989759,13298088500.28115,TOTAL
357,Andhra Pradesh,2021,4,515001,4892740,10235401678.208153,TOTAL
358,Andhra Pradesh,2021,4,520010,4198904,8551737728.052567,TOTAL
359,Andhra Pradesh,2021,4,516001,4058071,10324818012.146276,TOTAL
360,Andhra Pradesh,2022,1,524002,16133298,35123754551.39544,TOTAL
361,Andhra Pradesh,2022,1,530026,10293117,25355928765.674084,TOTAL
362,Andhra Pradesh,2022,1,517501,8062447,14807178133.005922,TOTAL
363,Andhra Pradesh,2022,1,517507,6660899,12913687866.526722,TOTAL
364,Andhra Pradesh,2022,1,520002,6254668,16297042494.467913,TOTAL
365,Andhra Pradesh,2022,1,522001,5691035,15226428277.57111,TOTAL
