,State,Year,Quarter,District,Reg_Users
242,Andhra Pradesh,2022,3,krishna,2685215
243,Andhra Pradesh,2022,3,guntur,2647100
244,Andhra Pradesh,2022,3,chittoor,2517657
245,Andhra Pradesh,2022,3,anantapur,2030824
246,Andhra Pradesh,2022,3,kurnool,1924127
247,Andhra Pradesh,2022,3,west godavari,1805967
248,Andhra Pradesh,2022,3,spsr nellore,1588875
249,Andhra Pradesh,2022,3,prakasam,1567520
250,Andhra Pradesh,2022,4,visakhapatnam,3566854
251,Andhra Pradesh,2022,4,east godavari,2835087
252,Andhra Pradesh,2022,4,krishna,2813645
253,Andhra Pradesh,2022,4,guntur,2774365
254,Andhra Pradesh,2022,4,chittoor,2636036
255,Andhra Pradesh,2022,4,anantapur,2128066
256,Andhra Pradesh,2022,4,kurnool,2018290
257,Andhra Pradesh,2022,4,west godavari,1893310
258,Andhra Pradesh,2022,4,spsr nellore,1663684
259,Andhra Pradesh,2022,4,prakasam,1642503
260,Arunanchal Pradesh,2018,1,papum pare,7649
261,Arunanchal Pradesh,2018,1,west kameng,2202
262,Arunanchal Pradesh,2018,1,east siang,1803
263,Arunanchal Pradesh,2018,1,tawang,1525
264,Arunanchal Pradesh,2018,1,changlang,1208
265,Arunanchal Pradesh,2018,1,lohit,1207
266,Arunanchal Pradesh,2018,1,west siang,846
267,Arunanchal Pradesh,2018,1,namsai,737
268,Arunanchal Pradesh,2018,1,lower dibang valley,601
269,Arunanchal Pradesh,2018,1,upper subansiri,572
270,Arunanchal Pradesh,2018,2,papum pare,11418
271,Arunanchal Pradesh,2018,2,west kameng,3442
272,Arunanchal Pradesh,2018,2,east siang,2646
273,Arunanchal Pradesh,2018,2,tawang,2266
274,Arunanchal Pradesh,2018,2,changlang,2014
275,Arunanchal Pradesh,2018,2,lohit,1898
276,Arunanchal Pradesh,2018,2,namsai,1276
277,Arunanchal Pradesh,2018,2,west siang,1224
278,Arunanchal Pradesh,2018,2,lower dibang valley,893
279,Arunanchal Pradesh,2018,2,upper subansiri,883
280,Arunanchal Pradesh,2018,3,papum pare,16009
281,Arunanchal Pradesh,2018,3,west kameng,4765
