,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
86,Andhra Pradesh,2018,3,east godavari district,3226907,3551247095.307447,TOTAL
87,Andhra Pradesh,2018,3,srikakulam district,1073883,1318322236.598471,TOTAL
88,Andhra Pradesh,2018,3,spsr nellore district,1308890,2215938596.185108,TOTAL
89,Andhra Pradesh,2018,3,vizianagaram district,970132,1163546006.895916,TOTAL
90,Andhra Pradesh,2018,3,visakhapatnam district,3394576,4821892253.393524,TOTAL
91,Andhra Pradesh,2018,3,prakasam district,1319651,2346453445.483843,TOTAL
92,Andhra Pradesh,2018,3,anantapur district,1815215,2681787750.464165,TOTAL
93,Andhra Pradesh,2018,3,ysr district,1557444,2235904512.2542048,TOTAL
94,Andhra Pradesh,2018,3,west godavari district,1431282,2309078492.8058147,TOTAL
95,Andhra Pradesh,2018,3,kurnool district,2921189,2908389261.539773,TOTAL
96,Andhra Pradesh,2018,3,chittoor district,2297429,3283517630.720593,TOTAL
97,Andhra Pradesh,2018,3,guntur district,1912529,3127764663.180438,TOTAL
98,Andhra Pradesh,2018,3,krishna district,2396934,3754202654.3844614,TOTAL
99,Andhra Pradesh,2018,4,east godavari district,3052762,4652624623.436675,TOTAL
100,Andhra Pradesh,2018,4,srikakulam district,1252807,1870278609.504549,TOTAL
101,Andhra Pradesh,2018,4,spsr nellore district,1814997,3293448556.9734454,TOTAL
102,Andhra Pradesh,2018,4,vizianagaram district,1386787,1817673252.5417767,TOTAL
103,Andhra Pradesh,2018,4,visakhapatnam district,4791421,7366635864.849373,TOTAL
104,Andhra Pradesh,2018,4,prakasam district,1692862,3255254226.03728,TOTAL
105,Andhra Pradesh,2018,4,anantapur district,2286391,3975878156.329829,TOTAL
106,Andhra Pradesh,2018,4,ysr district,1732527,3252340063.2478595,TOTAL
107,Andhra Pradesh,2018,4,west godavari district,1688482,3237504255.4632454,TOTAL
108,Andhra Pradesh,2018,4,kurnool district,2508530,3626544852.4069242,TOTAL
109,Andhra Pradesh,2018,4,chittoor district,3166201,4979093890.223491,TOTAL
110,Andhra Pradesh,2018,4,guntur district,2546620,4730251217.696959,TOTAL
111,Andhra Pradesh,2018,4,krishna district,2839161,5416251838.130407,TOTAL
112,Andhra Pradesh,2019,1,east godavari district,5440146,7382264724.59952,TOTAL
113,Andhra Pradesh,2019,1,srikakulam district,2526855,3407912878.4152584,TOTAL
114,Andhra Pradesh,2019,1,spsr nellore district,3333584,5161932216.216368,TOTAL
115,Andhra Pradesh,2019,1,vizianagaram district,2798241,3364576948.299301,TOTAL
116,Andhra Pradesh,2019,1,visakhapatnam district,9690866,13459857440.552685,TOTAL
117,Andhra Pradesh,2019,1,prakasam district,2931081,4807527779.215151,TOTAL
118,Andhra Pradesh,2019,1,anantapur district,3891336,6044730653.191345,TOTAL
119,Andhra Pradesh,2019,1,ysr district,2852197,4915811593.896078,TOTAL
120,Andhra Pradesh,2019,1,west godavari district,2829437,4623764455.47309,TOTAL
121,Andhra Pradesh,2019,1,kurnool district,4193432,5541564892.509682,TOTAL
122,Andhra Pradesh,2019,1,chittoor district,6486813,8223371732.233585,TOTAL
123,Andhra Pradesh,2019,1,guntur district,4846553,7765934169.404485,TOTAL
124,Andhra Pradesh,2019,1,krishna district,5443981,9061346433.072681,TOTAL
125,Andhra Pradesh,2019,2,east godavari district,4699261,9116404622.47651,TOTAL
126,Andhra Pradesh,2019,2,srikakulam district,2019203,4066576539.936839,TOTAL
127,Andhra Pradesh,2019,2,spsr nellore district,3141891,6880873007.4820595,TOTAL
128,Andhra Pradesh,2019,2,vizianagaram district,2272320,4443041665.039663,TOTAL
129,Andhra Pradesh,2019,2,visakhapatnam district,11705738,20797479804.029076,TOTAL
130,Andhra Pradesh,2019,2,prakasam district,2670529,6262396448.455349,TOTAL
131,Andhra Pradesh,2019,2,anantapur district,3578836,7830782361.377665,TOTAL
132,Andhra Pradesh,2019,2,ysr district,2606284,6376856828.130632,TOTAL
133,Andhra Pradesh,2019,2,west godavari district,2402074,5676818258.955046,TOTAL
134,Andhra Pradesh,2019,2,kurnool district,3895824,7358285187.018034,TOTAL
135,Andhra Pradesh,2019,2,chittoor district,5983308,10982727976.224325,TOTAL
136,Andhra Pradesh,2019,2,guntur district,5005275,10405246943.481495,TOTAL
137,Andhra Pradesh,2019,2,krishna district,6428472,13437029115.620754,TOTAL
138,Andhra Pradesh,2019,3,east godavari district,6537303,11387726470.57774,TOTAL
139,Andhra Pradesh,2019,3,srikakulam district,2556296,4610131289.524039,TOTAL
140,Andhra Pradesh,2019,3,spsr nellore district,4150195,8256600118.735449,TOTAL
141,Andhra Pradesh,2019,3,vizianagaram district,2861581,4922069039.19216,TOTAL
142,Andhra Pradesh,2019,3,visakhapatnam district,16694947,26944837120.046288,TOTAL
143,Andhra Pradesh,2019,3,prakasam district,3430750,7354502261.150911,TOTAL
144,Andhra Pradesh,2019,3,anantapur district,4889720,9554081289.488277,TOTAL
145,Andhra Pradesh,2019,3,ysr district,3296586,7447544274.2117815,TOTAL
146,Andhra Pradesh,2019,3,west godavari district,3179541,6627629029.01413,TOTAL
147,Andhra Pradesh,2019,3,kurnool district,5139134,9025632779.412457,TOTAL
148,Andhra Pradesh,2019,3,chittoor district,8201783,13837455758.755266,TOTAL
