,State,Year,Quarter,Payments,Transaction_type,Transaction_count,Transaction_amount
72,Andaman & Nicobar,2021,3,Merchant payments,TOTAL,118340,176991328.21761328
73,Andaman & Nicobar,2021,3,Financial Services,TOTAL,990,2351013.441729573
74,Andaman & Nicobar,2021,3,Others,TOTAL,2103,1650766.1267105162
75,Andaman & Nicobar,2021,4,Peer-to-peer payments,TOTAL,285778,1544932663.2744582
76,Andaman & Nicobar,2021,4,Merchant payments,TOTAL,210164,322842314.62433755
77,Andaman & Nicobar,2021,4,Recharge & bill payments,TOTAL,135608,59243518.11464358
78,Andaman & Nicobar,2021,4,Financial Services,TOTAL,1718,3137965.167474068
79,Andaman & Nicobar,2021,4,Others,TOTAL,2855,2453640.142743944
80,Andaman & Nicobar,2022,1,Peer-to-peer payments,TOTAL,342649,1682328505.7254477
81,Andaman & Nicobar,2022,1,Merchant payments,TOTAL,284298,370091558.68373305
82,Andaman & Nicobar,2022,1,Recharge & bill payments,TOTAL,163401,71300133.66101266
83,Andaman & Nicobar,2022,1,Financial Services,TOTAL,1757,2869682.0229511866
84,Andaman & Nicobar,2022,1,Others,TOTAL,2643,2440321.9820225406
85,Andaman & Nicobar,2022,2,Merchant payments,TOTAL,449540,510838980.9061847
86,Andaman & Nicobar,2022,2,Peer-to-peer payments,TOTAL,437606,2088309073.4552848
87,Andaman & Nicobar,2022,2,Recharge & bill payments,TOTAL,179515,82232936.61795366
88,Andaman & Nicobar,2022,2,Financial Services,TOTAL,1448,2089862.3927160464
89,Andaman & Nicobar,2022,2,Others,TOTAL,3108,2449496.7081265687
90,Andaman & Nicobar,2022,3,Merchant payments,TOTAL,716105,693438186.296541
91,Andaman & Nicobar,2022,3,Peer-to-peer payments,TOTAL,622217,2514535154.56483
92,Andaman & Nicobar,2022,3,Recharge & bill payments,TOTAL,240766,97748065.62714244
93,Andaman & Nicobar,2022,3,Financial Services,TOTAL,1814,2166304.9779766416
94,Andaman & Nicobar,2022,3,Others,TOTAL,3477,2744060.670897343
95,Andaman & Nicobar,2022,4,Merchant payments,TOTAL,956536,906365300.6585041
96,Andaman & Nicobar,2022,4,Peer-to-peer payments,TOTAL,768758,2961630584.8271313
97,Andaman & Nicobar,2022,4,Recharge & bill payments,TOTAL,256050,110037119.66941178
98,Andaman & Nicobar,2022,4,Financial Services,TOTAL,2499,3533987.2301130476
99,Andaman & Nicobar,2022,4,Others,TOTAL,3692,3107412.043626394
100,Andhra Pradesh,2018,1,Recharge & bill payments,TOTAL,5027448,892293975.6698562
101,Andhra Pradesh,2018,1,Peer-to-peer payments,TOTAL,3049646,10524250283.178782
102,Andhra Pradesh,2018,1,Merchant payments,TOTAL,362672,247297640.24000686
103,Andhra Pradesh,2018,1,Financial Services,TOTAL,204305,44808449.7639544
104,Andhra Pradesh,2018,1,Others,TOTAL,395514,287626042.970705
105,Andhra Pradesh,2018,2,Recharge & bill payments,TOTAL,6456387,1598591488.4880352
106,Andhra Pradesh,2018,2,Peer-to-peer payments,TOTAL,4745000,20451493098.8953
107,Andhra Pradesh,2018,2,Merchant payments,TOTAL,604847,436785223.86032957
108,Andhra Pradesh,2018,2,Financial Services,TOTAL,225621,68952114.81374599
109,Andhra Pradesh,2018,2,Others,TOTAL,322063,328092346.575651
110,Andhra Pradesh,2018,3,Peer-to-peer payments,TOTAL,16129591,32738630444.668724
111,Andhra Pradesh,2018,3,Recharge & bill payments,TOTAL,7542005,1949098146.8941927
112,Andhra Pradesh,2018,3,Merchant payments,TOTAL,1225416,685277254.5076212
113,Andhra Pradesh,2018,3,Financial Services,TOTAL,380324,60790077.57437308
114,Andhra Pradesh,2018,3,Others,TOTAL,348725,284248675.5700202
115,Andhra Pradesh,2018,4,Peer-to-peer payments,TOTAL,17580086,47011639726.13608
116,Andhra Pradesh,2018,4,Recharge & bill payments,TOTAL,9767083,2418164314.470957
117,Andhra Pradesh,2018,4,Merchant payments,TOTAL,2622131,1671585888.568256
118,Andhra Pradesh,2018,4,Financial Services,TOTAL,400837,57178116.40322068
119,Andhra Pradesh,2018,4,Others,TOTAL,389411,315211361.26249415
120,Andhra Pradesh,2019,1,Peer-to-peer payments,TOTAL,37420988,77524329742.2595
121,Andhra Pradesh,2019,1,Recharge & bill payments,TOTAL,14022264,3480641602.3771377
122,Andhra Pradesh,2019,1,Merchant payments,TOTAL,5043682,2423536770.3706346
123,Andhra Pradesh,2019,1,Financial Services,TOTAL,416325,47150177.52982048
124,Andhra Pradesh,2019,1,Others,TOTAL,361263,284937624.5393019
125,Andhra Pradesh,2019,2,Peer-to-peer payments,TOTAL,32494402,103924649232.47021
126,Andhra Pradesh,2019,2,Recharge & bill payments,TOTAL,14093964,4708345387.9101095
127,Andhra Pradesh,2019,2,Merchant payments,TOTAL,9226537,4613405202.681959
128,Andhra Pradesh,2019,2,Financial Services,TOTAL,145310,26626696.771042537
129,Andhra Pradesh,2019,2,Others,TOTAL,448802,361492238.3966455
130,Andhra Pradesh,2019,3,Peer-to-peer payments,TOTAL,39023491,124338645329.51532
131,Andhra Pradesh,2019,3,Recharge & bill payments,TOTAL,20147629,6893984676.598906
132,Andhra Pradesh,2019,3,Merchant payments,TOTAL,16581787,7887394038.066369
133,Andhra Pradesh,2019,3,Financial Services,TOTAL,122270,29778183.027080443
134,Andhra Pradesh,2019,3,Others,TOTAL,413437,298142027.58625776
135,Andhra Pradesh,2019,4,Peer-to-peer payments,TOTAL,57181511,178893550050.68753
136,Andhra Pradesh,2019,4,Merchant payments,TOTAL,25122370,13476303367.50486
137,Andhra Pradesh,2019,4,Recharge & bill payments,TOTAL,24469888,8335168605.691999
138,Andhra Pradesh,2019,4,Financial Services,TOTAL,105662,26796571.745749153
139,Andhra Pradesh,2019,4,Others,TOTAL,338672,216496893.16102877
140,Andhra Pradesh,2020,1,Peer-to-peer payments,TOTAL,65452143,223088554055.04755
141,Andhra Pradesh,2020,1,Merchant payments,TOTAL,31408022,18603161784.496994
142,Andhra Pradesh,2020,1,Recharge & bill payments,TOTAL,30449644,10813530777.973532
143,Andhra Pradesh,2020,1,Financial Services,TOTAL,75238,43739133.169823855
144,Andhra Pradesh,2020,1,Others,TOTAL,292310,188228538.37489766
145,Andhra Pradesh,2020,2,Peer-to-peer payments,TOTAL,73609921,262731724130.7907
146,Andhra Pradesh,2020,2,Recharge & bill payments,TOTAL,41013987,16991006436.573467
147,Andhra Pradesh,2020,2,Merchant payments,TOTAL,29976765,22625596525.44269
148,Andhra Pradesh,2020,2,Financial Services,TOTAL,140941,145274999.15679634
149,Andhra Pradesh,2020,2,Others,TOTAL,176241,90087654.60009979
150,Andhra Pradesh,2020,3,Peer-to-peer payments,TOTAL,106791894,406461788252.32056
151,Andhra Pradesh,2020,3,Merchant payments,TOTAL,54055557,40739580213.86052
152,Andhra Pradesh,2020,3,Recharge & bill payments,TOTAL,43500067,19475104674.827175
153,Andhra Pradesh,2020,3,Financial Services,TOTAL,243088,256074924.7187529
154,Andhra Pradesh,2020,3,Others,TOTAL,312329,151582519.18136686
155,Andhra Pradesh,2020,4,Peer-to-peer payments,TOTAL,152003791,566639138543.7708
156,Andhra Pradesh,2020,4,Merchant payments,TOTAL,86581460,66654048149.95168
157,Andhra Pradesh,2020,4,Recharge & bill payments,TOTAL,46810304,20936337211.557747
158,Andhra Pradesh,2020,4,Financial Services,TOTAL,265470,305168772.45601684
159,Andhra Pradesh,2020,4,Others,TOTAL,457527,306853355.59473807
160,Andhra Pradesh,2021,1,Peer-to-peer payments,TOTAL,149313738,580542193013.0018
161,Andhra Pradesh,2021,1,Merchant payments,TOTAL,97920281,70813192713.43477
162,Andhra Pradesh,2021,1,Recharge & bill payments,TOTAL,41940689,20546424964.14482
163,Andhra Pradesh,2021,1,Financial Services,TOTAL,225355,270313028.48452014
164,Andhra Pradesh,2021,1,Others,TOTAL,347907,272546457.5502677
165,Andhra Pradesh,2021,2,Peer-to-peer payments,TOTAL,189614879,737004484057.439
166,Andhra Pradesh,2021,2,Merchant payments,TOTAL,112875274,88512429436.91248
167,Andhra Pradesh,2021,2,Recharge & bill payments,TOTAL,49626902,24646800345.106976
168,Andhra Pradesh,2021,2,Financial Services,TOTAL,243237,265483044.40124667
169,Andhra Pradesh,2021,2,Others,TOTAL,406842,308302224.3856007
170,Andhra Pradesh,2021,3,Peer-to-peer payments,TOTAL,221280317,837841124664.307
171,Andhra Pradesh,2021,3,Merchant payments,TOTAL,158290953,118164377968.16754
172,Andhra Pradesh,2021,3,Recharge & bill payments,TOTAL,51702350,27511344958.24361
173,Andhra Pradesh,2021,3,Financial Services,TOTAL,211171,297239697.83073866
174,Andhra Pradesh,2021,3,Others,TOTAL,547759,403948275.56756073
175,Andhra Pradesh,2021,4,Peer-to-peer payments,TOTAL,262006450,971269765249.1282
176,Andhra Pradesh,2021,4,Merchant payments,TOTAL,207538904,152883933596.5386
177,Andhra Pradesh,2021,4,Recharge & bill payments,TOTAL,51762842,31232784713.985794
178,Andhra Pradesh,2021,4,Financial Services,TOTAL,243951,332740108.6635881
179,Andhra Pradesh,2021,4,Others,TOTAL,701856,545223415.6638832
180,Andhra Pradesh,2022,1,Peer-to-peer payments,TOTAL,288488560,1089629182596.4781
181,Andhra Pradesh,2022,1,Merchant payments,TOTAL,242031836,169419685917.19562
182,Andhra Pradesh,2022,1,Recharge & bill payments,TOTAL,51224170,34473036841.83001
183,Andhra Pradesh,2022,1,Financial Services,TOTAL,231651,324358965.11859065
184,Andhra Pradesh,2022,1,Others,TOTAL,627694,474382234.25397474
185,Andhra Pradesh,2022,2,Peer-to-peer payments,TOTAL,321362337,1231408926513.7114
186,Andhra Pradesh,2022,2,Merchant payments,TOTAL,292530048,205433660654.20898
187,Andhra Pradesh,2022,2,Recharge & bill payments,TOTAL,56606969,42408541939.06145
188,Andhra Pradesh,2022,2,Financial Services,TOTAL,192751,245783011.04455262
189,Andhra Pradesh,2022,2,Others,TOTAL,441925,357036084.9071137
190,Andhra Pradesh,2022,3,Peer-to-peer payments,TOTAL,298804000,1140164525892.7397
191,Andhra Pradesh,2022,3,Merchant payments,TOTAL,291033653,202910820650.0824
192,Andhra Pradesh,2022,3,Recharge & bill payments,TOTAL,52467708,41438764826.20322
193,Andhra Pradesh,2022,3,Financial Services,TOTAL,187190,239347241.54655045
194,Andhra Pradesh,2022,3,Others,TOTAL,362484,323951101.5715289
195,Andhra Pradesh,2022,4,Merchant payments,TOTAL,321632104,211898851397.09848
196,Andhra Pradesh,2022,4,Peer-to-peer payments,TOTAL,315734006,1170249585983.0112
197,Andhra Pradesh,2022,4,Recharge & bill payments,TOTAL,52098850,41986837706.47902
198,Andhra Pradesh,2022,4,Financial Services,TOTAL,206459,250596592.06465048
199,Andhra Pradesh,2022,4,Others,TOTAL,345658,339211363.0027188
200,Arunanchal Pradesh,2018,1,Recharge & bill payments,TOTAL,28729,5184132.514934338
201,Arunanchal Pradesh,2018,1,Peer-to-peer payments,TOTAL,13320,82889682.72418305
202,Arunanchal Pradesh,2018,1,Merchant payments,TOTAL,1042,2420374.1905855755
203,Arunanchal Pradesh,2018,1,Financial Services,TOTAL,416,58893.76201533088
204,Arunanchal Pradesh,2018,1,Others,TOTAL,1990,1834252.8176908877
205,Arunanchal Pradesh,2018,2,Recharge & bill payments,TOTAL,50700,10468878.537107183
206,Arunanchal Pradesh,2018,2,Peer-to-peer payments,TOTAL,26477,181576281.19464755
207,Arunanchal Pradesh,2018,2,Merchant payments,TOTAL,2378,4718953.439561011
208,Arunanchal Pradesh,2018,2,Financial Services,TOTAL,559,363761.80159549194
209,Arunanchal Pradesh,2018,2,Others,TOTAL,2043,1842317.3691352482
210,Arunanchal Pradesh,2018,3,Recharge & bill payments,TOTAL,74122,15997565.906016497
211,Arunanchal Pradesh,2018,3,Peer-to-peer payments,TOTAL,49740,308106303.45342577
212,Arunanchal Pradesh,2018,3,Merchant payments,TOTAL,4738,5505694.567913429
213,Arunanchal Pradesh,2018,3,Financial Services,TOTAL,507,72133.845254878
214,Arunanchal Pradesh,2018,3,Others,TOTAL,2039,2044708.9687807972
215,Arunanchal Pradesh,2018,4,Recharge & bill payments,TOTAL,97751,20662691.882313278
216,Arunanchal Pradesh,2018,4,Peer-to-peer payments,TOTAL,68169,468831493.2328036
217,Arunanchal Pradesh,2018,4,Merchant payments,TOTAL,7726,11998974.1040326
218,Arunanchal Pradesh,2018,4,Financial Services,TOTAL,561,100597.90379906222
219,Arunanchal Pradesh,2018,4,Others,TOTAL,2222,2446271.9688117937
220,Arunanchal Pradesh,2019,1,Recharge & bill payments,TOTAL,121303,26796894.998233315
221,Arunanchal Pradesh,2019,1,Peer-to-peer payments,TOTAL,93494,568554821.4456317
222,Arunanchal Pradesh,2019,1,Merchant payments,TOTAL,9214,11727218.401334248
223,Arunanchal Pradesh,2019,1,Financial Services,TOTAL,256,140622.87093631705
224,Arunanchal Pradesh,2019,1,Others,TOTAL,2239,2730548.5978140826
225,Arunanchal Pradesh,2019,2,Recharge & bill payments,TOTAL,131988,30420803.41271234
226,Arunanchal Pradesh,2019,2,Peer-to-peer payments,TOTAL,106527,704237943.4054435
227,Arunanchal Pradesh,2019,2,Merchant payments,TOTAL,16828,13955724.130712911
228,Arunanchal Pradesh,2019,2,Financial Services,TOTAL,267,160660.8821362781
229,Arunanchal Pradesh,2019,2,Others,TOTAL,3046,3880742.524023137
230,Arunanchal Pradesh,2019,3,Recharge & bill payments,TOTAL,216228,50946104.94289842
231,Arunanchal Pradesh,2019,3,Peer-to-peer payments,TOTAL,133484,841037395.2474606
232,Arunanchal Pradesh,2019,3,Merchant payments,TOTAL,16900,17178248.07427002
233,Arunanchal Pradesh,2019,3,Financial Services,TOTAL,864,64089.11350267195
234,Arunanchal Pradesh,2019,3,Others,TOTAL,2758,3419197.4177385764
235,Arunanchal Pradesh,2019,4,Recharge & bill payments,TOTAL,259183,63516906.09060433
236,Arunanchal Pradesh,2019,4,Peer-to-peer payments,TOTAL,177833,1100137447.9340453
237,Arunanchal Pradesh,2019,4,Merchant payments,TOTAL,19769,23192271.691576812
238,Arunanchal Pradesh,2019,4,Financial Services,TOTAL,314,305379.7987782319
239,Arunanchal Pradesh,2019,4,Others,TOTAL,2376,3421174.01227797
240,Arunanchal Pradesh,2020,1,Recharge & bill payments,TOTAL,329834,86011654.77474582
241,Arunanchal Pradesh,2020,1,Peer-to-peer payments,TOTAL,203429,1263912288.4066367
242,Arunanchal Pradesh,2020,1,Merchant payments,TOTAL,31181,28553052.133918796
243,Arunanchal Pradesh,2020,1,Financial Services,TOTAL,470,337812.94816169393
244,Arunanchal Pradesh,2020,1,Others,TOTAL,2261,2943873.0666838237
245,Arunanchal Pradesh,2020,2,Recharge & bill payments,TOTAL,522495,145198528.22961134
246,Arunanchal Pradesh,2020,2,Peer-to-peer payments,TOTAL,247861,1630654426.0441835
247,Arunanchal Pradesh,2020,2,Merchant payments,TOTAL,35169,46446966.612447515
248,Arunanchal Pradesh,2020,2,Financial Services,TOTAL,1310,2655507.6964110374
249,Arunanchal Pradesh,2020,2,Others,TOTAL,1939,1761404.4023099935
250,Arunanchal Pradesh,2020,3,Recharge & bill payments,TOTAL,514907,153463816.21184397
251,Arunanchal Pradesh,2020,3,Peer-to-peer payments,TOTAL,370418,2361603431.37578
252,Arunanchal Pradesh,2020,3,Merchant payments,TOTAL,72736,88145178.69272713
253,Arunanchal Pradesh,2020,3,Financial Services,TOTAL,1761,4030599.9171272423
254,Arunanchal Pradesh,2020,3,Others,TOTAL,3005,2695539.3607389224
255,Arunanchal Pradesh,2020,4,Peer-to-peer payments,TOTAL,522019,3254744938.4105625
256,Arunanchal Pradesh,2020,4,Recharge & bill payments,TOTAL,513895,152389181.21743062
257,Arunanchal Pradesh,2020,4,Merchant payments,TOTAL,167387,156682926.02384603
258,Arunanchal Pradesh,2020,4,Financial Services,TOTAL,1749,2391651.8783250954
259,Arunanchal Pradesh,2020,4,Others,TOTAL,4079,4055324.315454754
260,Arunanchal Pradesh,2021,1,Peer-to-peer payments,TOTAL,566209,3460488558.9436507
261,Arunanchal Pradesh,2021,1,Recharge & bill payments,TOTAL,450649,142358376.9003836
262,Arunanchal Pradesh,2021,1,Merchant payments,TOTAL,155966,204958020.0891498
263,Arunanchal Pradesh,2021,1,Financial Services,TOTAL,1558,2672460.4740365944
264,Arunanchal Pradesh,2021,1,Others,TOTAL,3074,3301662.6094231335
265,Arunanchal Pradesh,2021,2,Peer-to-peer payments,TOTAL,762946,4000960152.0755496
266,Arunanchal Pradesh,2021,2,Recharge & bill payments,TOTAL,556680,165579844.25105897
267,Arunanchal Pradesh,2021,2,Merchant payments,TOTAL,243375,283709438.5363142
268,Arunanchal Pradesh,2021,2,Financial Services,TOTAL,1582,2761076.7934988844
269,Arunanchal Pradesh,2021,2,Others,TOTAL,3755,3415105.3379601175
270,Arunanchal Pradesh,2021,3,Peer-to-peer payments,TOTAL,986088,5033603845.032885
271,Arunanchal Pradesh,2021,3,Recharge & bill payments,TOTAL,600102,187390578.30403775
272,Arunanchal Pradesh,2021,3,Merchant payments,TOTAL,314658,449869060.7842621
273,Arunanchal Pradesh,2021,3,Financial Services,TOTAL,1934,3348547.8272713376
274,Arunanchal Pradesh,2021,3,Others,TOTAL,4185,3912143.3503634185
275,Arunanchal Pradesh,2021,4,Peer-to-peer payments,TOTAL,1227616,6022733378.120082
276,Arunanchal Pradesh,2021,4,Recharge & bill payments,TOTAL,633248,207784816.33218512
277,Arunanchal Pradesh,2021,4,Merchant payments,TOTAL,521447,704195694.9939187
278,Arunanchal Pradesh,2021,4,Financial Services,TOTAL,2386,3933557.2795471298
279,Arunanchal Pradesh,2021,4,Others,TOTAL,5901,4862905.885615055
280,Arunanchal Pradesh,2022,1,Peer-to-peer payments,TOTAL,1403584,6670641250.45945
281,Arunanchal Pradesh,2022,1,Merchant payments,TOTAL,720803,917155358.7177179
282,Arunanchal Pradesh,2022,1,Recharge & bill payments,TOTAL,670576,231933129.00412333
283,Arunanchal Pradesh,2022,1,Financial Services,TOTAL,3053,3359625.792926075
284,Arunanchal Pradesh,2022,1,Others,TOTAL,6052,5002264.113148138
285,Arunanchal Pradesh,2022,2,Peer-to-peer payments,TOTAL,1751568,7627061474.687715
286,Arunanchal Pradesh,2022,2,Merchant payments,TOTAL,1108353,1255513517.3639429
287,Arunanchal Pradesh,2022,2,Recharge & bill payments,TOTAL,688770,241162643.19480157
288,Arunanchal Pradesh,2022,2,Financial Services,TOTAL,2466,4063469.0998270046
289,Arunanchal Pradesh,2022,2,Others,TOTAL,5768,3864269.879579009
290,Arunanchal Pradesh,2022,3,Peer-to-peer payments,TOTAL,1967086,7365427284.274204
291,Arunanchal Pradesh,2022,3,Merchant payments,TOTAL,1316326,1413247143.4889917
292,Arunanchal Pradesh,2022,3,Recharge & bill payments,TOTAL,649322,238448083.80779752
293,Arunanchal Pradesh,2022,3,Financial Services,TOTAL,1997,4763324.776043448
294,Arunanchal Pradesh,2022,3,Others,TOTAL,4687,3224948.7015704075
295,Arunanchal Pradesh,2022,4,Peer-to-peer payments,TOTAL,2251135,7768088687.67791
296,Arunanchal Pradesh,2022,4,Merchant payments,TOTAL,1704968,1669602212.9174638
297,Arunanchal Pradesh,2022,4,Recharge & bill payments,TOTAL,669151,239412553.61214688
298,Arunanchal Pradesh,2022,4,Financial Services,TOTAL,2617,3785469.3993366556
299,Arunanchal Pradesh,2022,4,Others,TOTAL,4838,4020773.8953960314
300,Assam,2018,1,Recharge & bill payments,TOTAL,632092,93491181.14056379
301,Assam,2018,1,Peer-to-peer payments,TOTAL,318025,993525195.9818655
302,Assam,2018,1,Merchant payments,TOTAL,40482,34501622.89266755
303,Assam,2018,1,Financial Services,TOTAL,18172,4936862.200688562
304,Assam,2018,1,Others,TOTAL,48110,31349593.99668264
305,Assam,2018,2,Recharge & bill payments,TOTAL,984160,174427478.21340805
306,Assam,2018,2,Peer-to-peer payments,TOTAL,530781,2064314053.1339972
307,Assam,2018,2,Merchant payments,TOTAL,79307,73366344.80739225
308,Assam,2018,2,Financial Services,TOTAL,22773,7051504.657611102
309,Assam,2018,2,Others,TOTAL,46852,31425754.725386057
310,Assam,2018,3,Recharge & bill payments,TOTAL,1275136,254569069.32411742
311,Assam,2018,3,Peer-to-peer payments,TOTAL,843571,3424136709.5088205
312,Assam,2018,3,Merchant payments,TOTAL,159532,96783839.37466942
313,Assam,2018,3,Financial Services,TOTAL,22677,4741123.821880115
314,Assam,2018,3,Others,TOTAL,50935,30904247.884785894
315,Assam,2018,4,Recharge & bill payments,TOTAL,1703488,317661277.3470997
316,Assam,2018,4,Peer-to-peer payments,TOTAL,1279089,5284776455.070784
317,Assam,2018,4,Merchant payments,TOTAL,667293,240563395.2777939
318,Assam,2018,4,Financial Services,TOTAL,28035,6331912.52655252
319,Assam,2018,4,Others,TOTAL,56267,38689818.79087821
320,Assam,2019,1,Recharge & bill payments,TOTAL,1993220,400281677.94382846
321,Assam,2019,1,Peer-to-peer payments,TOTAL,1976310,7291433300.700247
322,Assam,2019,1,Merchant payments,TOTAL,494871,266644645.74929428
323,Assam,2019,1,Financial Services,TOTAL,20162,4612454.1127945455
324,Assam,2019,1,Others,TOTAL,48442,39127457.944687635
325,Assam,2019,2,Recharge & bill payments,TOTAL,2512932,539315772.8606573
326,Assam,2019,2,Peer-to-peer payments,TOTAL,2293770,10035232820.852964
327,Assam,2019,2,Merchant payments,TOTAL,573646,326844709.5879724
328,Assam,2019,2,Financial Services,TOTAL,13654,4037222.414240564
329,Assam,2019,2,Others,TOTAL,60927,49538663.41037582
330,Assam,2019,3,Peer-to-peer payments,TOTAL,2713539,11835800855.176552
