,State,Year,Quarter,District,Reg_Users,App_Opens
9377,Odisha,2021,1,sundargarh district,450776,12987159
9378,Odisha,2021,1,jagatsinghapur district,300122,9094056
9379,Odisha,2021,1,balangir district,238380,6473331
9380,Odisha,2021,1,baleshwar district,557273,14507340
9381,Odisha,2021,1,puri district,431553,13992697
9382,Odisha,2021,1,sonepur district,94551,2395249
9383,Odisha,2021,1,khordha district,1415897,63590946
9384,Odisha,2021,1,boudh district,58177,1553860
9385,Odisha,2021,1,gajapati district,74629,2771507
9386,Odisha,2021,1,nayagarh district,198238,5903431
9387,Odisha,2021,1,nabarangpur district,86833,2514529
9388,Odisha,2021,1,kendrapara district,293287,8928474
9389,Odisha,2021,1,cuttack district,784846,27238288
9390,Odisha,2021,2,rayagada district,161874,11968717
9391,Odisha,2021,2,koraput district,182181,12614422
9392,Odisha,2021,2,malkangiri district,63880,5010275
9393,Odisha,2021,2,sambalpur district,275001,11542753
9394,Odisha,2021,2,kalahandi district,227704,12075656
9395,Odisha,2021,2,anugul district,338114,13461863
9396,Odisha,2021,2,ganjam district,772409,27608178
9397,Odisha,2021,2,jajapur district,518570,15539082
9398,Odisha,2021,2,bargarh district,233243,9225430
9399,Odisha,2021,2,dhenkanal district,271626,11854300
9400,Odisha,2021,2,bhadrak district,392928,10893119
9401,Odisha,2021,2,nuapada district,77158,4903840
9402,Odisha,2021,2,kendujhar district,379263,19018016
9403,Odisha,2021,2,mayurbhanj district,342898,14693303
9404,Odisha,2021,2,jharsuguda district,191043,6410583
9405,Odisha,2021,2,kandhamal district,89548,5961388
9406,Odisha,2021,2,deogarh district,40332,3282902
9407,Odisha,2021,2,sundargarh district,482937,18200575
9408,Odisha,2021,2,jagatsinghapur district,321155,8665991
9409,Odisha,2021,2,balangir district,256186,12318530
9410,Odisha,2021,2,baleshwar district,596366,14433914
9411,Odisha,2021,2,puri district,462146,13385190
9412,Odisha,2021,2,sonepur district,101584,4584965
9413,Odisha,2021,2,khordha district,1511068,41038670
9414,Odisha,2021,2,boudh district,62600,3741556
9415,Odisha,2021,2,gajapati district,80263,6162465
9416,Odisha,2021,2,nayagarh district,212420,8448067
9417,Odisha,2021,2,nabarangpur district,93780,7567759
9418,Odisha,2021,2,kendrapara district,313828,9803145
9419,Odisha,2021,2,cuttack district,838924,23161840
9420,Odisha,2021,3,rayagada district,174728,16760831
9421,Odisha,2021,3,koraput district,196851,19367873
9422,Odisha,2021,3,malkangiri district,69669,7180765
9423,Odisha,2021,3,sambalpur district,296251,15869804
9424,Odisha,2021,3,kalahandi district,246601,17464237
9425,Odisha,2021,3,anugul district,364818,17878073
9426,Odisha,2021,3,ganjam district,831869,33950452
9427,Odisha,2021,3,jajapur district,558822,19161874
9428,Odisha,2021,3,bargarh district,252144,13182847
9429,Odisha,2021,3,dhenkanal district,292800,15108969
9430,Odisha,2021,3,bhadrak district,423068,13467683
9431,Odisha,2021,3,nuapada district,83716,7525872
9432,Odisha,2021,3,kendujhar district,410049,25107639
9433,Odisha,2021,3,mayurbhanj district,371425,20700116
9434,Odisha,2021,3,jharsuguda district,205663,8885748
9435,Odisha,2021,3,kandhamal district,96862,9090971
9436,Odisha,2021,3,deogarh district,43737,4653968
9437,Odisha,2021,3,sundargarh district,520155,25326483
9438,Odisha,2021,3,jagatsinghapur district,345234,10720210
9439,Odisha,2021,3,balangir district,277146,17707579
9440,Odisha,2021,3,baleshwar district,641826,18593887
9441,Odisha,2021,3,puri district,497069,17210743
9442,Odisha,2021,3,sonepur district,109924,6096184
9443,Odisha,2021,3,khordha district,1618171,54826366
9444,Odisha,2021,3,boudh district,67782,5211233
9445,Odisha,2021,3,gajapati district,86765,8993662
9446,Odisha,2021,3,nayagarh district,228677,10186197
9447,Odisha,2021,3,nabarangpur district,102244,11629745
9448,Odisha,2021,3,kendrapara district,337718,11487316
9449,Odisha,2021,3,cuttack district,900706,29532377
9450,Odisha,2021,4,rayagada district,187562,11692290
9451,Odisha,2021,4,koraput district,211160,12137241
9452,Odisha,2021,4,malkangiri district,75114,3760894
9453,Odisha,2021,4,sambalpur district,317259,15914880
9454,Odisha,2021,4,kalahandi district,264773,12924135
9455,Odisha,2021,4,anugul district,390981,17480548
9456,Odisha,2021,4,ganjam district,889686,43221176
9457,Odisha,2021,4,jajapur district,598043,31222102
9458,Odisha,2021,4,bargarh district,270113,11531339
9459,Odisha,2021,4,dhenkanal district,313502,14877091
9460,Odisha,2021,4,bhadrak district,452384,20733469
9461,Odisha,2021,4,nuapada district,90146,4390762
9462,Odisha,2021,4,kendujhar district,440078,21635153
9463,Odisha,2021,4,mayurbhanj district,399076,15901243
9464,Odisha,2021,4,jharsuguda district,220010,11963212
9465,Odisha,2021,4,kandhamal district,103926,4452108
9466,Odisha,2021,4,deogarh district,47096,1991762
9467,Odisha,2021,4,sundargarh district,556973,25758922
9468,Odisha,2021,4,jagatsinghapur district,368959,17301864
9469,Odisha,2021,4,balangir district,297438,13714912
9470,Odisha,2021,4,baleshwar district,685881,28631052
9471,Odisha,2021,4,puri district,531127,26165403
9472,Odisha,2021,4,sonepur district,117909,4637687
9473,Odisha,2021,4,khordha district,1725313,103883281
9474,Odisha,2021,4,boudh district,72717,2992225
9475,Odisha,2021,4,gajapati district,93201,5454899
9476,Odisha,2021,4,nayagarh district,244622,10314176
9477,Odisha,2021,4,nabarangpur district,110406,6115274
9478,Odisha,2021,4,kendrapara district,361439,17130729
9479,Odisha,2021,4,cuttack district,962341,49421617
9480,Odisha,2022,1,rayagada district,199745,27904765
9481,Odisha,2022,1,koraput district,224651,39781670
9482,Odisha,2022,1,malkangiri district,80251,18234967
9483,Odisha,2022,1,sambalpur district,337359,22839033
9484,Odisha,2022,1,kalahandi district,282939,30504810
9485,Odisha,2022,1,anugul district,416483,17717957
9486,Odisha,2022,1,ganjam district,946066,35224808
9487,Odisha,2022,1,jajapur district,636291,13870670
9488,Odisha,2022,1,bargarh district,288188,21570405
9489,Odisha,2022,1,dhenkanal district,334288,18904610
9490,Odisha,2022,1,bhadrak district,481063,11229503
9491,Odisha,2022,1,nuapada district,96377,14268956
9492,Odisha,2022,1,kendujhar district,469295,38823385
9493,Odisha,2022,1,mayurbhanj district,426398,37004061
9494,Odisha,2022,1,jharsuguda district,234082,10212241
9495,Odisha,2022,1,kandhamal district,110888,16470623
9496,Odisha,2022,1,deogarh district,50320,8099241
9497,Odisha,2022,1,sundargarh district,592346,40157197
9498,Odisha,2022,1,jagatsinghapur district,392154,6174742
9499,Odisha,2022,1,balangir district,317138,28639512
9500,Odisha,2022,1,baleshwar district,728990,15519468
9501,Odisha,2022,1,puri district,564442,14364283
9502,Odisha,2022,1,sonepur district,125997,10956996
9503,Odisha,2022,1,khordha district,1827307,23177026
9504,Odisha,2022,1,boudh district,77892,8481506
9505,Odisha,2022,1,gajapati district,99565,16191101
9506,Odisha,2022,1,nayagarh district,260324,11960161
9507,Odisha,2022,1,nabarangpur district,117939,27644841
9508,Odisha,2022,1,kendrapara district,384475,10109615
9509,Odisha,2022,1,cuttack district,1021526,17817312
9510,Odisha,2022,2,rayagada district,211140,31430424
9511,Odisha,2022,2,koraput district,237081,47274564
9512,Odisha,2022,2,malkangiri district,84884,19891279
9513,Odisha,2022,2,sambalpur district,356271,25229949
9514,Odisha,2022,2,kalahandi district,299472,32115481
9515,Odisha,2022,2,anugul district,440242,19193666
9516,Odisha,2022,2,ganjam district,999398,39525025
9517,Odisha,2022,2,jajapur district,672209,14113435
9518,Odisha,2022,2,bargarh district,304554,23608819
9519,Odisha,2022,2,dhenkanal district,353317,22673681
9520,Odisha,2022,2,bhadrak district,507695,11401607
9521,Odisha,2022,2,nuapada district,101852,15706025
9522,Odisha,2022,2,kendujhar district,496154,42781421
9523,Odisha,2022,2,mayurbhanj district,451049,41951412
9524,Odisha,2022,2,jharsuguda district,247348,10509895
9525,Odisha,2022,2,kandhamal district,117216,18747026
9526,Odisha,2022,2,deogarh district,53242,9142000
9527,Odisha,2022,2,sundargarh district,625606,44748581
9528,Odisha,2022,2,jagatsinghapur district,414004,6001985
9529,Odisha,2022,2,balangir district,335510,30546407
9530,Odisha,2022,2,baleshwar district,769737,16393327
9531,Odisha,2022,2,puri district,595694,13831227
9532,Odisha,2022,2,sonepur district,133295,10960661
9533,Odisha,2022,2,khordha district,1924289,22124501
9534,Odisha,2022,2,boudh district,82326,9202348
9535,Odisha,2022,2,gajapati district,105268,18586944
9536,Odisha,2022,2,nayagarh district,274898,13931319
9537,Odisha,2022,2,nabarangpur district,124828,31033185
9538,Odisha,2022,2,kendrapara district,406125,10419790
9539,Odisha,2022,2,cuttack district,1077286,17235109
9540,Odisha,2022,3,rayagada district,222586,33945163
9541,Odisha,2022,3,koraput district,249470,53647667
9542,Odisha,2022,3,malkangiri district,89362,23837496
9543,Odisha,2022,3,sambalpur district,375127,27943716
9544,Odisha,2022,3,kalahandi district,315775,40099719
9545,Odisha,2022,3,anugul district,464296,19729655
9546,Odisha,2022,3,ganjam district,1054407,38860922
9547,Odisha,2022,3,jajapur district,709685,13224455
9548,Odisha,2022,3,bargarh district,320560,27614270
9549,Odisha,2022,3,dhenkanal district,372560,23712251
9550,Odisha,2022,3,bhadrak district,535581,9788610
9551,Odisha,2022,3,nuapada district,107220,19020938
9552,Odisha,2022,3,kendujhar district,523219,43193575
9553,Odisha,2022,3,mayurbhanj district,475312,45099249
9554,Odisha,2022,3,jharsuguda district,260834,11635221
9555,Odisha,2022,3,kandhamal district,123544,20408655
9556,Odisha,2022,3,deogarh district,55962,8639893
9557,Odisha,2022,3,sundargarh district,658859,49671724
9558,Odisha,2022,3,jagatsinghapur district,436498,5968654
9559,Odisha,2022,3,balangir district,353484,39157906
9560,Odisha,2022,3,baleshwar district,812109,15492753
9561,Odisha,2022,3,puri district,627710,12891436
9562,Odisha,2022,3,sonepur district,140448,12360126
9563,Odisha,2022,3,khordha district,2025108,20626170
9564,Odisha,2022,3,boudh district,86776,11356098
9565,Odisha,2022,3,gajapati district,111136,18699712
9566,Odisha,2022,3,nayagarh district,290094,14922946
9567,Odisha,2022,3,nabarangpur district,131269,36138099
9568,Odisha,2022,3,kendrapara district,428410,10854747
9569,Odisha,2022,3,cuttack district,1135881,16934098
9570,Odisha,2022,4,rayagada district,233250,14316175
9571,Odisha,2022,4,koraput district,260639,16992431
9572,Odisha,2022,4,malkangiri district,93093,6342406
9573,Odisha,2022,4,sambalpur district,392612,21257755
9574,Odisha,2022,4,kalahandi district,330196,18366255
9575,Odisha,2022,4,anugul district,486514,22286387
9576,Odisha,2022,4,ganjam district,1105095,51733365
9577,Odisha,2022,4,jajapur district,743948,41705177
9578,Odisha,2022,4,bargarh district,334060,16393602
9579,Odisha,2022,4,dhenkanal district,389751,18946953
9580,Odisha,2022,4,bhadrak district,560896,26309764
9581,Odisha,2022,4,nuapada district,111771,6654100
9582,Odisha,2022,4,kendujhar district,547019,28270009
9583,Odisha,2022,4,mayurbhanj district,495920,22223760
9584,Odisha,2022,4,jharsuguda district,273411,15959473
9585,Odisha,2022,4,kandhamal district,129217,5092507
9586,Odisha,2022,4,deogarh district,58213,2499036
9587,Odisha,2022,4,sundargarh district,689753,36013906
9588,Odisha,2022,4,jagatsinghapur district,457355,21518826
9589,Odisha,2022,4,balangir district,369088,18504795
9590,Odisha,2022,4,baleshwar district,850800,38032263
9591,Odisha,2022,4,puri district,657668,32735944
9592,Odisha,2022,4,sonepur district,146518,6082316
9593,Odisha,2022,4,khordha district,2124474,121676587
9594,Odisha,2022,4,boudh district,90477,3930821
9595,Odisha,2022,4,gajapati district,116235,6529748
9596,Odisha,2022,4,nayagarh district,303718,12978384
9597,Odisha,2022,4,nabarangpur district,136384,9757473
9598,Odisha,2022,4,kendrapara district,448239,22329029
9599,Odisha,2022,4,cuttack district,1190925,60660007
9600,Puducherry,2018,1,karaikal district,3628,0
9601,Puducherry,2018,1,puducherry district,42117,0
9602,Puducherry,2018,1,yanam district,2500,0
9603,Puducherry,2018,1,mahe district,1073,0
9604,Puducherry,2018,2,karaikal district,5393,0
9605,Puducherry,2018,2,puducherry district,55513,0
9606,Puducherry,2018,2,yanam district,3232,0
9607,Puducherry,2018,2,mahe district,1442,0
9608,Puducherry,2018,3,karaikal district,7174,0
9609,Puducherry,2018,3,puducherry district,68634,0
9610,Puducherry,2018,3,yanam district,3926,0
9611,Puducherry,2018,3,mahe district,1812,0
9612,Puducherry,2018,4,karaikal district,9578,0
9613,Puducherry,2018,4,puducherry district,92629,0
9614,Puducherry,2018,4,yanam district,4901,0
9615,Puducherry,2018,4,mahe district,2386,0
9616,Puducherry,2019,1,karaikal district,11549,0
9617,Puducherry,2019,1,puducherry district,112798,0
9618,Puducherry,2019,1,yanam district,5814,0
9619,Puducherry,2019,1,mahe district,2898,0
9620,Puducherry,2019,2,karaikal district,13827,45356
9621,Puducherry,2019,2,puducherry district,132703,566583
9622,Puducherry,2019,2,yanam district,6485,39930
9623,Puducherry,2019,2,mahe district,3443,10063
9624,Puducherry,2019,3,karaikal district,15875,175756
9625,Puducherry,2019,3,puducherry district,150642,2105679
9626,Puducherry,2019,3,yanam district,7342,158152
9627,Puducherry,2019,3,mahe district,4009,37335
9628,Puducherry,2019,4,karaikal district,18134,230172
9629,Puducherry,2019,4,puducherry district,173175,2763947
9630,Puducherry,2019,4,yanam district,8287,220025
9631,Puducherry,2019,4,mahe district,4696,48978
9632,Puducherry,2020,1,karaikal district,20775,261910
9633,Puducherry,2020,1,puducherry district,195398,3223716
9634,Puducherry,2020,1,yanam district,9266,278779
9635,Puducherry,2020,1,mahe district,5469,56538
9636,Puducherry,2020,2,karaikal district,23612,239666
9637,Puducherry,2020,2,puducherry district,215429,2472371
9638,Puducherry,2020,2,yanam district,10164,283991
9639,Puducherry,2020,2,mahe district,6395,61580
9640,Puducherry,2020,3,karaikal district,26910,303955
9641,Puducherry,2020,3,puducherry district,239707,3437500
9642,Puducherry,2020,3,yanam district,11054,396823
9643,Puducherry,2020,3,mahe district,7502,83881
9644,Puducherry,2020,4,karaikal district,30982,444319
9645,Puducherry,2020,4,puducherry district,267946,5242950
9646,Puducherry,2020,4,yanam district,12131,565602
9647,Puducherry,2020,4,mahe district,8567,124265
9648,Puducherry,2021,1,karaikal district,33876,582052
9649,Puducherry,2021,1,puducherry district,290107,6568964
9650,Puducherry,2021,1,yanam district,13005,612423
9651,Puducherry,2021,1,mahe district,9291,151068
9652,Puducherry,2021,2,karaikal district,36328,493882
9653,Puducherry,2021,2,puducherry district,309892,4103659
9654,Puducherry,2021,2,yanam district,13854,479412
9655,Puducherry,2021,2,mahe district,9887,101963
9656,Puducherry,2021,3,karaikal district,39011,657821
9657,Puducherry,2021,3,puducherry district,332193,5490447
9658,Puducherry,2021,3,yanam district,14823,611578
9659,Puducherry,2021,3,mahe district,10582,139746
9660,Puducherry,2021,4,karaikal district,41695,1155805
9661,Puducherry,2021,4,puducherry district,354425,11785427
9662,Puducherry,2021,4,yanam district,15809,1029025
9663,Puducherry,2021,4,mahe district,11238,287311
9664,Puducherry,2022,1,karaikal district,44201,667015
9665,Puducherry,2022,1,puducherry district,375238,2813406
9666,Puducherry,2022,1,yanam district,16747,383417
9667,Puducherry,2022,1,mahe district,11865,74819
9668,Puducherry,2022,2,karaikal district,46573,782743
9669,Puducherry,2022,2,puducherry district,394977,2718826
9670,Puducherry,2022,2,yanam district,17644,253293
9671,Puducherry,2022,2,mahe district,12469,75428
9672,Puducherry,2022,3,karaikal district,49034,1156331
9673,Puducherry,2022,3,puducherry district,415847,2728263
9674,Puducherry,2022,3,yanam district,18606,212475
9675,Puducherry,2022,3,mahe district,13083,89842
9676,Puducherry,2022,4,karaikal district,51364,2116333
9677,Puducherry,2022,4,puducherry district,436067,20318650
9678,Puducherry,2022,4,yanam district,19579,1250177
9679,Puducherry,2022,4,mahe district,13639,459024
9680,Punjab,2018,1,shahid bhagat singh nagar district,7519,0
9681,Punjab,2018,1,fazilka district,44823,0
9682,Punjab,2018,1,barnala district,12242,0
9683,Punjab,2018,1,mansa district,20521,0
9684,Punjab,2018,1,ludhiana district,168625,0
9685,Punjab,2018,1,sri muktsar sahib district,21239,0
9686,Punjab,2018,1,patiala district,66507,0
9687,Punjab,2018,1,pathankot district,20420,0
9688,Punjab,2018,1,fatehgarh sahib district,14764,0
9689,Punjab,2018,1,rupnagar district,17004,0
9690,Punjab,2018,1,tarn taran district,11244,0
9691,Punjab,2018,1,sas nagar district,121113,0
9692,Punjab,2018,1,sangrur district,37485,0
9693,Punjab,2018,1,jalandhar district,57808,0
9694,Punjab,2018,1,bathinda district,52466,0
9695,Punjab,2018,1,kapurthala district,18281,0
9696,Punjab,2018,1,firozepur district,19987,0
9697,Punjab,2018,1,gurdaspur district,21372,0
9698,Punjab,2018,1,amritsar district,59685,0
9699,Punjab,2018,1,faridkot district,14795,0
9700,Punjab,2018,1,hoshiarpur district,25348,0
9701,Punjab,2018,1,moga district,13894,0
9702,Punjab,2018,2,shahid bhagat singh nagar district,10332,0
9703,Punjab,2018,2,fazilka district,60134,0
9704,Punjab,2018,2,barnala district,16405,0
9705,Punjab,2018,2,mansa district,27053,0
9706,Punjab,2018,2,ludhiana district,230404,0
9707,Punjab,2018,2,sri muktsar sahib district,28590,0
9708,Punjab,2018,2,patiala district,90123,0
9709,Punjab,2018,2,pathankot district,29096,0
9710,Punjab,2018,2,fatehgarh sahib district,20549,0
9711,Punjab,2018,2,rupnagar district,23246,0
9712,Punjab,2018,2,tarn taran district,15514,0
9713,Punjab,2018,2,sas nagar district,161605,0
9714,Punjab,2018,2,sangrur district,50749,0
9715,Punjab,2018,2,jalandhar district,79991,0
9716,Punjab,2018,2,bathinda district,70948,0
9717,Punjab,2018,2,kapurthala district,24556,0
9718,Punjab,2018,2,firozepur district,27110,0
9719,Punjab,2018,2,gurdaspur district,29910,0
9720,Punjab,2018,2,amritsar district,82735,0
9721,Punjab,2018,2,faridkot district,19714,0
9722,Punjab,2018,2,hoshiarpur district,34576,0
9723,Punjab,2018,2,moga district,18850,0
9724,Punjab,2018,3,shahid bhagat singh nagar district,13651,0
9725,Punjab,2018,3,fazilka district,73785,0
9726,Punjab,2018,3,barnala district,20578,0
9727,Punjab,2018,3,mansa district,32798,0
9728,Punjab,2018,3,ludhiana district,296414,0
9729,Punjab,2018,3,sri muktsar sahib district,35579,0
9730,Punjab,2018,3,patiala district,113902,0
9731,Punjab,2018,3,pathankot district,37880,0
9732,Punjab,2018,3,fatehgarh sahib district,26642,0
9733,Punjab,2018,3,rupnagar district,30201,0
9734,Punjab,2018,3,tarn taran district,21326,0
9735,Punjab,2018,3,sas nagar district,201458,0
9736,Punjab,2018,3,sangrur district,64978,0
9737,Punjab,2018,3,jalandhar district,104824,0
9738,Punjab,2018,3,bathinda district,88508,0
9739,Punjab,2018,3,kapurthala district,31128,0
9740,Punjab,2018,3,firozepur district,34756,0
9741,Punjab,2018,3,gurdaspur district,39920,0
9742,Punjab,2018,3,amritsar district,108935,0
9743,Punjab,2018,3,faridkot district,25150,0
9744,Punjab,2018,3,hoshiarpur district,45862,0
9745,Punjab,2018,3,moga district,24873,0
9746,Punjab,2018,4,shahid bhagat singh nagar district,17534,0
9747,Punjab,2018,4,fazilka district,89590,0
9748,Punjab,2018,4,barnala district,25961,0
9749,Punjab,2018,4,mansa district,39841,0
9750,Punjab,2018,4,ludhiana district,378237,0
9751,Punjab,2018,4,sri muktsar sahib district,44046,0
9752,Punjab,2018,4,patiala district,142989,0
9753,Punjab,2018,4,pathankot district,49244,0
9754,Punjab,2018,4,fatehgarh sahib district,33652,0
9755,Punjab,2018,4,rupnagar district,38623,0
9756,Punjab,2018,4,tarn taran district,27566,0
9757,Punjab,2018,4,sas nagar district,250733,0
9758,Punjab,2018,4,sangrur district,82334,0
9759,Punjab,2018,4,jalandhar district,135966,0
