,State,Year,Quarter,District,Reg_Users,App_Opens
2482,Chhattisgarh,2020,1,janjgir champa district,199431,5380445
2483,Chhattisgarh,2020,1,jashpur district,59351,1142635
2484,Chhattisgarh,2020,1,balod district,68724,1158964
2485,Chhattisgarh,2020,1,kabirdham district,60401,1057255
2486,Chhattisgarh,2020,1,surguja district,98711,2073053
2487,Chhattisgarh,2020,1,dantewada district,28594,616147
2488,Chhattisgarh,2020,1,gariyaband district,39610,776632
2489,Chhattisgarh,2020,1,durg district,353311,8458392
2490,Chhattisgarh,2020,1,rajnandgaon district,126699,2331110
2491,Chhattisgarh,2020,1,raipur district,559412,13218985
2492,Chhattisgarh,2020,1,narayanpur district,10674,243682
2493,Chhattisgarh,2020,1,kanker district,61891,1271896
2494,Chhattisgarh,2020,1,korea district,63940,1222085
2495,Chhattisgarh,2020,1,mungeli district,44303,709713
2496,Chhattisgarh,2020,1,bilaspur district,284320,5715987
2497,Chhattisgarh,2020,1,balrampur district,45517,1106067
2498,Chhattisgarh,2020,1,bijapur district,22680,585981
2499,Chhattisgarh,2020,1,bemetara district,57258,960530
2500,Chhattisgarh,2020,1,bastar district,69623,1449271
2501,Chhattisgarh,2020,1,kondagaon district,33640,683246
2502,Chhattisgarh,2020,1,mahasamund district,89942,1678308
2503,Chhattisgarh,2020,2,dhamtari district,79474,1468767
2504,Chhattisgarh,2020,2,korba district,184399,3948081
2505,Chhattisgarh,2020,2,surajpur district,70166,1405897
2506,Chhattisgarh,2020,2,baloda bazar district,134301,2668360
2507,Chhattisgarh,2020,2,sukma district,21763,549741
2508,Chhattisgarh,2020,2,raigarh district,233080,4690035
2509,Chhattisgarh,2020,2,janjgir champa district,227716,6918427
2510,Chhattisgarh,2020,2,jashpur district,69500,1452221
2511,Chhattisgarh,2020,2,balod district,79582,1524125
2512,Chhattisgarh,2020,2,kabirdham district,70568,1431151
2513,Chhattisgarh,2020,2,surguja district,110765,2058364
2514,Chhattisgarh,2020,2,dantewada district,32064,696614
2515,Chhattisgarh,2020,2,gariyaband district,45722,991698
2516,Chhattisgarh,2020,2,durg district,387874,7558938
2517,Chhattisgarh,2020,2,rajnandgaon district,146098,2708564
2518,Chhattisgarh,2020,2,raipur district,616931,11213191
2519,Chhattisgarh,2020,2,narayanpur district,12161,286793
2520,Chhattisgarh,2020,2,kanker district,71514,1475562
2521,Chhattisgarh,2020,2,korea district,71660,1446776
2522,Chhattisgarh,2020,2,mungeli district,52631,1062091
2523,Chhattisgarh,2020,2,bilaspur district,316669,5179966
2524,Chhattisgarh,2020,2,balrampur district,52871,1426830
2525,Chhattisgarh,2020,2,bijapur district,25534,653143
2526,Chhattisgarh,2020,2,bemetara district,67115,1295832
2527,Chhattisgarh,2020,2,bastar district,78865,1465913
2528,Chhattisgarh,2020,2,kondagaon district,39518,800308
2529,Chhattisgarh,2020,2,mahasamund district,103117,2115996
2530,Chhattisgarh,2020,3,dhamtari district,89508,1790640
2531,Chhattisgarh,2020,3,korba district,204448,5026826
2532,Chhattisgarh,2020,3,surajpur district,79907,1841882
2533,Chhattisgarh,2020,3,baloda bazar district,150975,3180025
2534,Chhattisgarh,2020,3,sukma district,24549,686019
2535,Chhattisgarh,2020,3,raigarh district,259581,6050750
2536,Chhattisgarh,2020,3,janjgir champa district,254275,7932461
2537,Chhattisgarh,2020,3,jashpur district,79728,1779430
2538,Chhattisgarh,2020,3,balod district,90672,1852205
2539,Chhattisgarh,2020,3,kabirdham district,80175,1675078
2540,Chhattisgarh,2020,3,surguja district,124081,2702225
2541,Chhattisgarh,2020,3,dantewada district,36067,879769
2542,Chhattisgarh,2020,3,gariyaband district,51653,1150137
2543,Chhattisgarh,2020,3,durg district,426052,9982427
2544,Chhattisgarh,2020,3,rajnandgaon district,166416,3393874
2545,Chhattisgarh,2020,3,raipur district,679027,15366190
2546,Chhattisgarh,2020,3,narayanpur district,14025,345785
2547,Chhattisgarh,2020,3,kanker district,81984,1829476
2548,Chhattisgarh,2020,3,korea district,80301,1900699
2549,Chhattisgarh,2020,3,mungeli district,59262,1136447
2550,Chhattisgarh,2020,3,bilaspur district,349586,6741931
2551,Chhattisgarh,2020,3,balrampur district,60953,1765014
2552,Chhattisgarh,2020,3,bijapur district,28816,818562
2553,Chhattisgarh,2020,3,bemetara district,75434,1493775
2554,Chhattisgarh,2020,3,bastar district,89115,1887298
2555,Chhattisgarh,2020,3,kondagaon district,46426,1027009
2556,Chhattisgarh,2020,3,mahasamund district,116370,2682672
2557,Chhattisgarh,2020,4,dhamtari district,98847,2126899
2558,Chhattisgarh,2020,4,korba district,225683,6558373
2559,Chhattisgarh,2020,4,surajpur district,88664,2246840
2560,Chhattisgarh,2020,4,baloda bazar district,166144,3814790
2561,Chhattisgarh,2020,4,sukma district,27330,815257
2562,Chhattisgarh,2020,4,raigarh district,285081,7364429
2563,Chhattisgarh,2020,4,janjgir champa district,280474,9105398
2564,Chhattisgarh,2020,4,jashpur district,89257,2102983
2565,Chhattisgarh,2020,4,balod district,100350,2189077
2566,Chhattisgarh,2020,4,kabirdham district,88933,1989496
2567,Chhattisgarh,2020,4,surguja district,137221,3521741
2568,Chhattisgarh,2020,4,dantewada district,39961,1055061
2569,Chhattisgarh,2020,4,gariyaband district,57272,1386237
2570,Chhattisgarh,2020,4,durg district,464870,13127877
2571,Chhattisgarh,2020,4,rajnandgaon district,185815,4241707
2572,Chhattisgarh,2020,4,raipur district,743167,20905346
2573,Chhattisgarh,2020,4,narayanpur district,15750,421492
2574,Chhattisgarh,2020,4,kanker district,92301,2228681
2575,Chhattisgarh,2020,4,korea district,88889,2406865
2576,Chhattisgarh,2020,4,mungeli district,65436,1341069
2577,Chhattisgarh,2020,4,bilaspur district,384115,9161691
2578,Chhattisgarh,2020,4,balrampur district,68062,1962238
2579,Chhattisgarh,2020,4,bijapur district,32020,1041505
2580,Chhattisgarh,2020,4,bemetara district,83243,1751930
2581,Chhattisgarh,2020,4,bastar district,99717,2428240
2582,Chhattisgarh,2020,4,kondagaon district,52463,1246665
2583,Chhattisgarh,2020,4,mahasamund district,129536,3358580
2584,Chhattisgarh,2021,1,dhamtari district,106354,2232426
2585,Chhattisgarh,2021,1,korba district,243030,7257892
2586,Chhattisgarh,2021,1,surajpur district,96117,2611995
2587,Chhattisgarh,2021,1,baloda bazar district,178486,4204907
2588,Chhattisgarh,2021,1,sukma district,29547,879035
2589,Chhattisgarh,2021,1,raigarh district,306712,8346426
2590,Chhattisgarh,2021,1,janjgir champa district,301931,9881334
2591,Chhattisgarh,2021,1,jashpur district,96584,2306566
2592,Chhattisgarh,2021,1,balod district,107814,2315276
2593,Chhattisgarh,2021,1,kabirdham district,96069,2239620
2594,Chhattisgarh,2021,1,surguja district,147969,4112955
2595,Chhattisgarh,2021,1,dantewada district,43171,1131007
2596,Chhattisgarh,2021,1,gariyaband district,61687,1473412
2597,Chhattisgarh,2021,1,durg district,498453,14831934
2598,Chhattisgarh,2021,1,rajnandgaon district,200572,4865613
2599,Chhattisgarh,2021,1,raipur district,800224,24692422
2600,Chhattisgarh,2021,1,narayanpur district,17030,425638
2601,Chhattisgarh,2021,1,kanker district,99897,2351676
2602,Chhattisgarh,2021,1,korea district,96149,2685639
2603,Chhattisgarh,2021,1,mungeli district,70557,1531522
2604,Chhattisgarh,2021,1,bilaspur district,413692,11193132
2605,Chhattisgarh,2021,1,balrampur district,73826,2249510
2606,Chhattisgarh,2021,1,bijapur district,34702,1108201
2607,Chhattisgarh,2021,1,bemetara district,89481,1910858
2608,Chhattisgarh,2021,1,bastar district,107818,2740623
2609,Chhattisgarh,2021,1,kondagaon district,57107,1323116
2610,Chhattisgarh,2021,1,mahasamund district,139572,3745969
2611,Chhattisgarh,2021,2,dhamtari district,113769,4464656
2612,Chhattisgarh,2021,2,korba district,260168,11814325
2613,Chhattisgarh,2021,2,surajpur district,103184,6798211
2614,Chhattisgarh,2021,2,baloda bazar district,191114,8378757
2615,Chhattisgarh,2021,2,sukma district,31825,2245148
2616,Chhattisgarh,2021,2,raigarh district,328664,12301515
2617,Chhattisgarh,2021,2,janjgir champa district,322297,14544124
2618,Chhattisgarh,2021,2,jashpur district,104482,7710351
2619,Chhattisgarh,2021,2,balod district,115485,5155212
2620,Chhattisgarh,2021,2,kabirdham district,103257,5323462
2621,Chhattisgarh,2021,2,surguja district,158949,6989066
2622,Chhattisgarh,2021,2,dantewada district,46424,2354791
2623,Chhattisgarh,2021,2,gariyaband district,66482,4445890
2624,Chhattisgarh,2021,2,durg district,531550,12403562
2625,Chhattisgarh,2021,2,rajnandgaon district,215143,10469078
2626,Chhattisgarh,2021,2,raipur district,855848,24005556
2627,Chhattisgarh,2021,2,narayanpur district,18307,996566
2628,Chhattisgarh,2021,2,kanker district,107701,6443903
2629,Chhattisgarh,2021,2,korea district,103611,6376837
2630,Chhattisgarh,2021,2,mungeli district,75644,3600246
2631,Chhattisgarh,2021,2,bilaspur district,442330,14110873
2632,Chhattisgarh,2021,2,balrampur district,79703,8600032
2633,Chhattisgarh,2021,2,bijapur district,37320,2519855
2634,Chhattisgarh,2021,2,bemetara district,96198,5123252
2635,Chhattisgarh,2021,2,bastar district,115879,5575817
2636,Chhattisgarh,2021,2,kondagaon district,61738,4297614
2637,Chhattisgarh,2021,2,mahasamund district,149983,8736018
2638,Chhattisgarh,2021,3,dhamtari district,122349,5603133
2639,Chhattisgarh,2021,3,korba district,279897,16623063
2640,Chhattisgarh,2021,3,surajpur district,111753,9477903
2641,Chhattisgarh,2021,3,baloda bazar district,205941,10767066
2642,Chhattisgarh,2021,3,sukma district,34529,3197451
2643,Chhattisgarh,2021,3,raigarh district,354087,17052359
2644,Chhattisgarh,2021,3,janjgir champa district,346366,17403707
2645,Chhattisgarh,2021,3,jashpur district,113637,9804141
2646,Chhattisgarh,2021,3,balod district,124200,6355356
2647,Chhattisgarh,2021,3,kabirdham district,111708,6730485
2648,Chhattisgarh,2021,3,surguja district,171276,10031433
2649,Chhattisgarh,2021,3,dantewada district,50242,3121282
2650,Chhattisgarh,2021,3,gariyaband district,71885,6272737
2651,Chhattisgarh,2021,3,durg district,568361,16727312
2652,Chhattisgarh,2021,3,rajnandgaon district,232140,14066183
2653,Chhattisgarh,2021,3,raipur district,917950,34032629
2654,Chhattisgarh,2021,3,narayanpur district,19877,1332425
2655,Chhattisgarh,2021,3,kanker district,116559,8813895
2656,Chhattisgarh,2021,3,korea district,111913,8619169
2657,Chhattisgarh,2021,3,mungeli district,81387,4340738
2658,Chhattisgarh,2021,3,bilaspur district,474660,19564262
2659,Chhattisgarh,2021,3,balrampur district,86704,11635114
2660,Chhattisgarh,2021,3,bijapur district,40492,3474467
2661,Chhattisgarh,2021,3,bemetara district,103776,5967838
2662,Chhattisgarh,2021,3,bastar district,125186,7716420
2663,Chhattisgarh,2021,3,kondagaon district,67316,6141062
2664,Chhattisgarh,2021,3,mahasamund district,161893,11614446
2665,Chhattisgarh,2021,4,dhamtari district,130540,4563914
2666,Chhattisgarh,2021,4,korba district,299191,15291693
2667,Chhattisgarh,2021,4,surajpur district,119950,5888039
2668,Chhattisgarh,2021,4,baloda bazar district,220188,9299441
2669,Chhattisgarh,2021,4,sukma district,37238,1683971
2670,Chhattisgarh,2021,4,raigarh district,378507,18123023
2671,Chhattisgarh,2021,4,janjgir champa district,368980,19120514
2672,Chhattisgarh,2021,4,jashpur district,122371,5203432
2673,Chhattisgarh,2021,4,balod district,132353,4855195
2674,Chhattisgarh,2021,4,kabirdham district,119692,4796979
2675,Chhattisgarh,2021,4,surguja district,183559,9370119
2676,Chhattisgarh,2021,4,dantewada district,53888,2137469
2677,Chhattisgarh,2021,4,gariyaband district,77202,3266847
2678,Chhattisgarh,2021,4,durg district,604621,26669512
2679,Chhattisgarh,2021,4,rajnandgaon district,248230,10157759
2680,Chhattisgarh,2021,4,raipur district,979741,44316810
2681,Chhattisgarh,2021,4,narayanpur district,21314,840302
2682,Chhattisgarh,2021,4,kanker district,125415,4897534
2683,Chhattisgarh,2021,4,korea district,120005,5630126
2684,Chhattisgarh,2021,4,mungeli district,87075,3539284
2685,Chhattisgarh,2021,4,bilaspur district,506449,23402865
2686,Chhattisgarh,2021,4,balrampur district,93661,5017173
2687,Chhattisgarh,2021,4,bijapur district,43663,2174445
2688,Chhattisgarh,2021,4,bemetara district,111174,3953868
2689,Chhattisgarh,2021,4,bastar district,134164,6108764
2690,Chhattisgarh,2021,4,kondagaon district,72791,3197223
2691,Chhattisgarh,2021,4,mahasamund district,173519,8246282
2692,Chhattisgarh,2022,1,dhamtari district,138724,9304051
2693,Chhattisgarh,2022,1,korba district,317604,28555879
2694,Chhattisgarh,2022,1,surajpur district,128121,18928338
2695,Chhattisgarh,2022,1,baloda bazar district,234464,17052096
2696,Chhattisgarh,2022,1,sukma district,39721,5650530
2697,Chhattisgarh,2022,1,raigarh district,403164,28569591
2698,Chhattisgarh,2022,1,janjgir champa district,392285,17826573
2699,Chhattisgarh,2022,1,jashpur district,131014,23052569
2700,Chhattisgarh,2022,1,balod district,140692,11029061
2701,Chhattisgarh,2022,1,kabirdham district,127669,11532414
2702,Chhattisgarh,2022,1,surguja district,195440,18501509
2703,Chhattisgarh,2022,1,dantewada district,57389,5840979
2704,Chhattisgarh,2022,1,gariyaband district,82487,13703262
2705,Chhattisgarh,2022,1,durg district,639688,13567777
2706,Chhattisgarh,2022,1,rajnandgaon district,264326,25331975
2707,Chhattisgarh,2022,1,raipur district,1038105,34404453
2708,Chhattisgarh,2022,1,narayanpur district,22756,3394010
2709,Chhattisgarh,2022,1,kanker district,133857,20092568
2710,Chhattisgarh,2022,1,korea district,127890,16324553
2711,Chhattisgarh,2022,1,mungeli district,92691,7216878
2712,Chhattisgarh,2022,1,bilaspur district,537617,24822855
2713,Chhattisgarh,2022,1,balrampur district,100226,26814683
2714,Chhattisgarh,2022,1,bijapur district,46540,6589775
2715,Chhattisgarh,2022,1,bemetara district,118600,11001712
2716,Chhattisgarh,2022,1,bastar district,142818,14540720
2717,Chhattisgarh,2022,1,kondagaon district,77846,14700267
2718,Chhattisgarh,2022,1,mahasamund district,185227,20154360
2719,Chhattisgarh,2022,2,dhamtari district,146066,10333093
2720,Chhattisgarh,2022,2,korba district,334672,30776047
2721,Chhattisgarh,2022,2,surajpur district,135353,19497362
2722,Chhattisgarh,2022,2,baloda bazar district,247634,18334461
2723,Chhattisgarh,2022,2,sukma district,41978,6331208
2724,Chhattisgarh,2022,2,raigarh district,425526,32543452
2725,Chhattisgarh,2022,2,janjgir champa district,414133,18022797
2726,Chhattisgarh,2022,2,jashpur district,138518,28640812
2727,Chhattisgarh,2022,2,balod district,147930,13306306
2728,Chhattisgarh,2022,2,kabirdham district,134783,11978258
2729,Chhattisgarh,2022,2,surguja district,206354,22236587
2730,Chhattisgarh,2022,2,dantewada district,60561,6738887
2731,Chhattisgarh,2022,2,gariyaband district,86939,13235943
2732,Chhattisgarh,2022,2,durg district,672947,13445249
2733,Chhattisgarh,2022,2,rajnandgaon district,278724,28420413
2734,Chhattisgarh,2022,2,raipur district,1093318,39640873
2735,Chhattisgarh,2022,2,narayanpur district,24061,4461600
2736,Chhattisgarh,2022,2,kanker district,141354,24085013
2737,Chhattisgarh,2022,2,korea district,134912,18499768
2738,Chhattisgarh,2022,2,mungeli district,97870,7828317
2739,Chhattisgarh,2022,2,bilaspur district,566475,26797395
2740,Chhattisgarh,2022,2,balrampur district,105948,29728876
2741,Chhattisgarh,2022,2,bijapur district,49168,7363721
2742,Chhattisgarh,2022,2,bemetara district,125096,12746215
2743,Chhattisgarh,2022,2,bastar district,150449,17283265
2744,Chhattisgarh,2022,2,kondagaon district,82174,16811546
2745,Chhattisgarh,2022,2,mahasamund district,195406,22323656
2746,Chhattisgarh,2022,3,dhamtari district,153263,11525749
2747,Chhattisgarh,2022,3,korba district,352198,36228236
2748,Chhattisgarh,2022,3,surajpur district,142407,22324980
2749,Chhattisgarh,2022,3,baloda bazar district,260632,19940925
2750,Chhattisgarh,2022,3,sukma district,44234,7050939
2751,Chhattisgarh,2022,3,raigarh district,448366,35340196
2752,Chhattisgarh,2022,3,janjgir champa district,436349,18998354
2753,Chhattisgarh,2022,3,jashpur district,145715,28645837
2754,Chhattisgarh,2022,3,balod district,155200,14558886
2755,Chhattisgarh,2022,3,kabirdham district,141814,15613661
2756,Chhattisgarh,2022,3,surguja district,217313,23200906
2757,Chhattisgarh,2022,3,dantewada district,63734,6442840
2758,Chhattisgarh,2022,3,gariyaband district,91335,14953415
2759,Chhattisgarh,2022,3,durg district,707241,14611488
2760,Chhattisgarh,2022,3,rajnandgaon district,292804,32277042
2761,Chhattisgarh,2022,3,raipur district,1150501,38340572
2762,Chhattisgarh,2022,3,narayanpur district,25375,5225910
2763,Chhattisgarh,2022,3,kanker district,148494,24876178
2764,Chhattisgarh,2022,3,korea district,141899,19410454
2765,Chhattisgarh,2022,3,mungeli district,102902,8504629
2766,Chhattisgarh,2022,3,bilaspur district,596003,28673485
2767,Chhattisgarh,2022,3,balrampur district,111448,32254886
2768,Chhattisgarh,2022,3,bijapur district,51796,7150992
2769,Chhattisgarh,2022,3,bemetara district,131384,14359000
2770,Chhattisgarh,2022,3,bastar district,158238,19141042
2771,Chhattisgarh,2022,3,kondagaon district,86322,19375824
2772,Chhattisgarh,2022,3,mahasamund district,205270,24180061
2773,Chhattisgarh,2022,4,dhamtari district,159411,7228454
2774,Chhattisgarh,2022,4,korba district,368179,22261392
2775,Chhattisgarh,2022,4,surajpur district,148130,8325549
2776,Chhattisgarh,2022,4,baloda bazar district,271259,13745650
2777,Chhattisgarh,2022,4,sukma district,46232,2281717
2778,Chhattisgarh,2022,4,raigarh district,468010,26415867
2779,Chhattisgarh,2022,4,janjgir champa district,455430,23396478
2780,Chhattisgarh,2022,4,jashpur district,151323,8436769
2781,Chhattisgarh,2022,4,balod district,160952,7717813
2782,Chhattisgarh,2022,4,kabirdham district,147742,7874615
2783,Chhattisgarh,2022,4,surguja district,226706,13099334
2784,Chhattisgarh,2022,4,dantewada district,66503,2982279
2785,Chhattisgarh,2022,4,gariyaband district,94815,4520547
2786,Chhattisgarh,2022,4,durg district,740173,34025608
2787,Chhattisgarh,2022,4,rajnandgaon district,304353,15822878
2788,Chhattisgarh,2022,4,raipur district,1205632,59719682
2789,Chhattisgarh,2022,4,narayanpur district,26527,1317409
2790,Chhattisgarh,2022,4,kanker district,154332,7405374
2791,Chhattisgarh,2022,4,korea district,147963,7529926
2792,Chhattisgarh,2022,4,mungeli district,106916,5380234
2793,Chhattisgarh,2022,4,bilaspur district,622644,32396787
2794,Chhattisgarh,2022,4,balrampur district,115804,7495009
2795,Chhattisgarh,2022,4,bijapur district,54230,2631460
2796,Chhattisgarh,2022,4,bemetara district,136066,6614939
2797,Chhattisgarh,2022,4,bastar district,164690,9294343
2798,Chhattisgarh,2022,4,kondagaon district,89611,5134236
2799,Chhattisgarh,2022,4,mahasamund district,213189,11922465
2800,Dadara & Nagar Havelli & Daman & Diu,2018,1,diu district,2553,0
2801,Dadara & Nagar Havelli & Daman & Diu,2018,1,daman district,18677,0
2802,Dadara & Nagar Havelli & Daman & Diu,2018,1,dadra and nagar haveli district,32028,0
2803,Dadara & Nagar Havelli & Daman & Diu,2018,2,diu district,3229,0
2804,Dadara & Nagar Havelli & Daman & Diu,2018,2,daman district,25144,0
2805,Dadara & Nagar Havelli & Daman & Diu,2018,2,dadra and nagar haveli district,43085,0
2806,Dadara & Nagar Havelli & Daman & Diu,2018,3,diu district,3830,0
2807,Dadara & Nagar Havelli & Daman & Diu,2018,3,daman district,32651,0
2808,Dadara & Nagar Havelli & Daman & Diu,2018,3,dadra and nagar haveli district,55626,0
2809,Dadara & Nagar Havelli & Daman & Diu,2018,4,diu district,4609,0
2810,Dadara & Nagar Havelli & Daman & Diu,2018,4,daman district,42069,0
2811,Dadara & Nagar Havelli & Daman & Diu,2018,4,dadra and nagar haveli district,69833,0
2812,Dadara & Nagar Havelli & Daman & Diu,2019,1,diu district,5452,0
2813,Dadara & Nagar Havelli & Daman & Diu,2019,1,daman district,51093,0
2814,Dadara & Nagar Havelli & Daman & Diu,2019,1,dadra and nagar haveli district,83987,0
2815,Dadara & Nagar Havelli & Daman & Diu,2019,2,diu district,6193,22979
2816,Dadara & Nagar Havelli & Daman & Diu,2019,2,daman district,58005,323345
2817,Dadara & Nagar Havelli & Daman & Diu,2019,2,dadra and nagar haveli district,94382,514362
2818,Dadara & Nagar Havelli & Daman & Diu,2019,3,diu district,6746,73017
2819,Dadara & Nagar Havelli & Daman & Diu,2019,3,daman district,64854,1168620
2820,Dadara & Nagar Havelli & Daman & Diu,2019,3,dadra and nagar haveli district,105329,1884552
2821,Dadara & Nagar Havelli & Daman & Diu,2019,4,diu district,7323,91107
2822,Dadara & Nagar Havelli & Daman & Diu,2019,4,daman district,72470,1415107
2823,Dadara & Nagar Havelli & Daman & Diu,2019,4,dadra and nagar haveli district,117805,2264329
2824,Dadara & Nagar Havelli & Daman & Diu,2020,1,diu district,7912,98466
2825,Dadara & Nagar Havelli & Daman & Diu,2020,1,daman district,80329,1550484
2826,Dadara & Nagar Havelli & Daman & Diu,2020,1,dadra and nagar haveli district,130255,2546172
2827,Dadara & Nagar Havelli & Daman & Diu,2020,2,diu district,8795,90682
2828,Dadara & Nagar Havelli & Daman & Diu,2020,2,daman district,90016,1640768
2829,Dadara & Nagar Havelli & Daman & Diu,2020,2,dadra and nagar haveli district,146003,2773677
2830,Dadara & Nagar Havelli & Daman & Diu,2020,3,diu district,9655,102606
2831,Dadara & Nagar Havelli & Daman & Diu,2020,3,daman district,98108,1480490
2832,Dadara & Nagar Havelli & Daman & Diu,2020,3,dadra and nagar haveli district,160183,2838403
2833,Dadara & Nagar Havelli & Daman & Diu,2020,4,diu district,10550,147153
2834,Dadara & Nagar Havelli & Daman & Diu,2020,4,daman district,108511,2123263
2835,Dadara & Nagar Havelli & Daman & Diu,2020,4,dadra and nagar haveli district,177432,3926020
2836,Dadara & Nagar Havelli & Daman & Diu,2021,1,diu district,11406,156639
2837,Dadara & Nagar Havelli & Daman & Diu,2021,1,daman district,117728,2573284
2838,Dadara & Nagar Havelli & Daman & Diu,2021,1,dadra and nagar haveli district,192262,4572539
2839,Dadara & Nagar Havelli & Daman & Diu,2021,2,diu district,12220,117626
2840,Dadara & Nagar Havelli & Daman & Diu,2021,2,daman district,126258,1622978
2841,Dadara & Nagar Havelli & Daman & Diu,2021,2,dadra and nagar haveli district,206516,3322379
2842,Dadara & Nagar Havelli & Daman & Diu,2021,3,diu district,13167,181641
2843,Dadara & Nagar Havelli & Daman & Diu,2021,3,daman district,135976,2278101
2844,Dadara & Nagar Havelli & Daman & Diu,2021,3,dadra and nagar haveli district,222731,4702992
2845,Dadara & Nagar Havelli & Daman & Diu,2021,4,diu district,14047,295151
2846,Dadara & Nagar Havelli & Daman & Diu,2021,4,daman district,145806,5114006
2847,Dadara & Nagar Havelli & Daman & Diu,2021,4,dadra and nagar haveli district,239110,9600298
2848,Dadara & Nagar Havelli & Daman & Diu,2022,1,diu district,14964,143766
2849,Dadara & Nagar Havelli & Daman & Diu,2022,1,daman district,155029,799218
2850,Dadara & Nagar Havelli & Daman & Diu,2022,1,dadra and nagar haveli district,254577,2967808
2851,Dadara & Nagar Havelli & Daman & Diu,2022,2,diu district,15811,229397
2852,Dadara & Nagar Havelli & Daman & Diu,2022,2,daman district,163861,633374
2853,Dadara & Nagar Havelli & Daman & Diu,2022,2,dadra and nagar haveli district,269344,3023521
2854,Dadara & Nagar Havelli & Daman & Diu,2022,3,diu district,16665,180045
2855,Dadara & Nagar Havelli & Daman & Diu,2022,3,daman district,173219,567477
2856,Dadara & Nagar Havelli & Daman & Diu,2022,3,dadra and nagar haveli district,284923,3090359
2857,Dadara & Nagar Havelli & Daman & Diu,2022,4,diu district,17427,445207
2858,Dadara & Nagar Havelli & Daman & Diu,2022,4,daman district,182481,7951596
2859,Dadara & Nagar Havelli & Daman & Diu,2022,4,dadra and nagar haveli district,300217,15669967
2860,NCT of Delhi,2018,1,south district,156706,0
2861,NCT of Delhi,2018,1,central district,202723,0
2862,NCT of Delhi,2018,1,new delhi district,212008,0
2863,NCT of Delhi,2018,1,west district,308558,0
2864,NCT of Delhi,2018,1,south west district,179197,0
2865,NCT of Delhi,2018,1,south east delhi district,251213,0
2866,NCT of Delhi,2018,1,shahdara district,114549,0
2867,NCT of Delhi,2018,1,north east district,95472,0
2868,NCT of Delhi,2018,1,east district,169295,0
2869,NCT of Delhi,2018,1,north west district,223679,0
2870,NCT of Delhi,2018,1,north district,173622,0
2871,NCT of Delhi,2018,2,south district,206935,0
2872,NCT of Delhi,2018,2,central district,267154,0
2873,NCT of Delhi,2018,2,new delhi district,282319,0
2874,NCT of Delhi,2018,2,west district,406877,0
2875,NCT of Delhi,2018,2,south west district,236789,0
2876,NCT of Delhi,2018,2,south east delhi district,333350,0
2877,NCT of Delhi,2018,2,shahdara district,152113,0
2878,NCT of Delhi,2018,2,north east district,127159,0
2879,NCT of Delhi,2018,2,east district,221449,0
2880,NCT of Delhi,2018,2,north west district,294038,0
2881,NCT of Delhi,2018,2,north district,227958,0
2882,NCT of Delhi,2018,3,south district,264628,0
2883,NCT of Delhi,2018,3,central district,340549,0
2884,NCT of Delhi,2018,3,new delhi district,363140,0
2885,NCT of Delhi,2018,3,west district,515854,0
2886,NCT of Delhi,2018,3,south west district,297663,0
2887,NCT of Delhi,2018,3,south east delhi district,423177,0
2888,NCT of Delhi,2018,3,shahdara district,192430,0
2889,NCT of Delhi,2018,3,north east district,159566,0
2890,NCT of Delhi,2018,3,east district,280847,0
2891,NCT of Delhi,2018,3,north west district,376806,0
2892,NCT of Delhi,2018,3,north district,290251,0
2893,NCT of Delhi,2018,4,south district,344311,0
2894,NCT of Delhi,2018,4,central district,446787,0
2895,NCT of Delhi,2018,4,new delhi district,470991,0
2896,NCT of Delhi,2018,4,west district,686653,0
2897,NCT of Delhi,2018,4,south west district,393208,0
2898,NCT of Delhi,2018,4,south east delhi district,564640,0
2899,NCT of Delhi,2018,4,shahdara district,257785,0
2900,NCT of Delhi,2018,4,north east district,216694,0
2901,NCT of Delhi,2018,4,east district,373139,0
2902,NCT of Delhi,2018,4,north west district,496928,0
2903,NCT of Delhi,2018,4,north district,379177,0
2904,NCT of Delhi,2019,1,south district,407519,0
2905,NCT of Delhi,2019,1,central district,529918,0
2906,NCT of Delhi,2019,1,new delhi district,558516,0
2907,NCT of Delhi,2019,1,west district,820526,0
2908,NCT of Delhi,2019,1,south west district,467571,0
2909,NCT of Delhi,2019,1,south east delhi district,671667,0
2910,NCT of Delhi,2019,1,shahdara district,310351,0
2911,NCT of Delhi,2019,1,north east district,262131,0
2912,NCT of Delhi,2019,1,east district,439639,0
2913,NCT of Delhi,2019,1,north west district,583438,0
2914,NCT of Delhi,2019,1,north district,447987,0
2915,NCT of Delhi,2019,2,south district,453829,3600582
2916,NCT of Delhi,2019,2,central district,596940,4621588
2917,NCT of Delhi,2019,2,new delhi district,637526,4770362
2918,NCT of Delhi,2019,2,west district,919096,6019764
2919,NCT of Delhi,2019,2,south west district,519422,3366911
2920,NCT of Delhi,2019,2,south east delhi district,749218,5600479
2921,NCT of Delhi,2019,2,shahdara district,352312,2162335
2922,NCT of Delhi,2019,2,north east district,298037,1839705
2923,NCT of Delhi,2019,2,east district,487121,3859544
2924,NCT of Delhi,2019,2,north west district,649377,4251847
2925,NCT of Delhi,2019,2,north district,502570,3638453
2926,NCT of Delhi,2019,3,south district,498200,13735093
2927,NCT of Delhi,2019,3,central district,658985,18110411
2928,NCT of Delhi,2019,3,new delhi district,705546,17907707
2929,NCT of Delhi,2019,3,west district,1008836,22146744
